id,subid,topic,relational_semantic_type,presence,candidate_term_left,candidate_term_right,Pivot,occurrence,full_context,annotation,justification,tags,global_freq,full_global_freq,inclusive,exclusive,comment,non sure,check,global_freq_oui,global_freq_non
H01,H1_economy_1,economy,hyp_attributif,none,[None],[None],la_ART_el falta_NC_falta de_PREP_de infraestructura_NC_infraestructura apropiada_ADJ_apropiado puede_VMfin_poder ser_VSinf_ser un_ART_un impedimento_NC_impedimento,la falta de infraestructura apropiada puede ser un impedimento,", el elevado costo del transporte de las exportaciones demuestra que la falta de infraestructura apropiada puede ser un impedimentograve para la integración. Países de integración rápida y lenta Si",« NON »,"NON;Negation, interrogation, probabilité (pouvoir;poder)",ART NC PREP NC ADJ VMfin VSinf ART NC,1,1,False,True,,False,,0,1
H01,H1_economy_2,economy,hyp_attributif,both,"['índice', 'integración', 'índice de integración']",['promedio'],El_ART_el índice_NC_índice de_PREP_de integración_NC_integración es_VSfin_ser el_ART_el promedio_NC_promedio,El índice de integración es el promedio,de los productos manufacturados en el total de las exportaciones. El índice de integración es el promediosimple de las variaciones de los cuatro indicadores en el período señalado,« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,ART NC PREP NC VSfin ART NC,14,37,False,False,,False,,7,7
H01,H1_economy_3,economy,hyp_attributif,both,['aranceles'],['factor'],Los_ART_el aranceles_NC_arancel son_VSfin_ser un_ART_un factor_NC_factor,Los aranceles son un factor,varían en forma considerable en las distintas regiones en desarrollo. Los aranceles son un factorimportante porque cuando los niveles de protección son elevados el crecimiento puede,« OUI »,"OUI;L’un des deux éléments est un candidat-terme du domaine, l’autre élément appartient au lexique scientifique transdisciplinaire.",ART NC VSfin ART NC,37,118,False,False,facteur;factor==element,False,,24,13
H01,H1_economy_4,economy,hyp_attributif,both,"['relación', 'integración', 'crecimiento']",['efecto'],la_ART_el relación_NC_relación entre_PREP_entre integración_NC_integración y_CC_y crecimiento_NC_crecimiento es_VSfin_ser el_ART_el efecto_NC_efecto,la relación entre integración y crecimiento es el efecto,países de integración escasa y lenta. Un factor que explica la relación entre integración y crecimiento es el efectofavorable de un sistema de comercio más libre y de la inversión,« NON »,"NON;L’un des deux éléments est un candidat-terme du domaine, l’autre élément est une nominalisation ou un groupe nominal n’appartenant pas au domaine.",ART NC PREP NC CC NC VSfin ART NC,1,1,False,True,efecto;effet==résultat d'une cause,False,,0,1
H01,H1_economy_5,economy,hyp_attributif,right,[None],['factor'],La_ART_el reforma_NC_reforma de_PREP_de las_ART_el políticas_NC_política es_VSfin_ser un_ART_un factor_NC_factor,La reforma de las políticas es un factor,del ambiente institucional y las políticas que adopten los gobiernos. La reforma de las políticas es un factorfundamental La importancia que reviste la reforma de las políticas queda de,« INCERTAINE »,INCERTAINE;Les deux éléments en relation n’appartiennent pas au domaine de l'économie.,ART NC PREP ART NC VSfin ART NC,11,21,False,False,,False,,1,10
H01,H1_economy_6,economy,hyp_attributif,left,"['inestabilidad', 'inestabilidad macroeconómica']",[None],la_ART_el inestabilidad_NC_inestabilidad macroeconómica_ADJ_macroeconómico fue_VSfin_ser la_ART_el causa_NC_causa,la inestabilidad macroeconómica fue la causa,"el sector de exportaciones de la economía. Se estima que la inestabilidad macroeconómica fue la causade la disminución de hasta 0, 9 puntos porcentuales al año",« NON »,NON;Le candidat-marqueur exprime une autre relation.,ART NC ADJ VSfin ART NC,27,72,False,False,relation de cause,False,,15,12
H01,H1_economy_7,economy,hyp_attributif,left,"['ritmo', 'integración', 'ritmo de integración']",[None],el_ART_el ritmo_NC_ritmo de_PREP_de integración_NC_integración es_VSfin_ser la_ART_el disponibilidad_NC_disponibilidad,el ritmo de integración es la disponibilidad,"necesario. El segundo aspecto en materia de políticas que afecta el ritmo de integración es la disponibilidady el mantenimiento adecuado de la infraestructura económica necesaria, en particular",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC PREP NC VSfin ART NC,14,37,False,False,"X==""El segundo aspecto en materia de políticas que afecta el ritmo de integración"", Y==""la disponibilidady el mantenimiento adecuado de la infraestructura económica necesaria"", Atribution du type: El X que afecta es Y. Cela peut se dire d'une autre maniere: Y afecta a X",False,,7,7
H01,H1_economy_8,economy,hyp_attributif,right,[None],['fenómeno'],el_ART_el regionalismo_NC_regionalismo es_VSfin_ser un_ART_un fenómeno_NC_fenómeno,el regionalismo es un fenómeno,"e histórica que ayudará a determinar su éxito. Dado que el regionalismo es un fenómenobastante reciente y adopta múltiples formas, no admite conclusiones simples.",« OUI »,OUI;Il y a une relation d'hyperonymie entre un CT que n'appartient pas au domaine et un CT dy LST,ART NC VSfin ART NC,37,118,False,False,https://es.wikipedia.org/wiki/Regionalismo,False,,24,13
H01,H1_economy_9,economy,hyp_attributif,left,['gradual'],[None],la_ART_el eliminación_NC_eliminación gradual_ADJ_gradual del_PDEL_del Acuerdo_NC_acuerdo Multifibras_NP_Multifibras serán_VSfin_ser los_ART_el países_NC_país,la eliminación gradual del Acuerdo Multifibras serán los países,provenientes de países en desarrollo. Probablemente los principales beneficiarios de la eliminación gradual del Acuerdo Multifibras serán los paísesproductores más eficientes cuyas exportaciones a los mercados de los países industriales,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC ADJ PDEL NC NP VSfin ART NC,1,2,False,True,,False,,0,1
H01,H1_economy_10,economy,hyp_attributif,left,"['dinamismo', 'inversión']",[None],el_ART_el dinamismo_NC_dinamismo de_PREP_de la_ART_el inversión_NC_inversión continuaron_VLfin_continuar siendo_VSger_ser los_ART_el pilares_NC_pilar,el dinamismo de la inversión continuaron siendo los pilares,regionales Asia oriental Los extraordinarios resultados en materia de exportaciones y el dinamismo de la inversión continuaron siendo los pilaresdel acelerado crecimiento del producto en Asia oriental durante 1995. Por,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC PREP ART NC VLfin VSger ART NC,1,1,False,True,"verbe ""etre;ser""  comme auxiliare",False,,0,1
H01,H1_economy_11,economy,hyp_attributif,none,[None],[None],los_ART_el inmigrantes_NC_inmigrante como_ADV_como Françoise_ADJ_Françoise son_VSfin_ser el_ART_el blanco_NC_blanco,los inmigrantes como Françoise son el blanco,"Hoa, que aceptan salarios más bajos, en tanto que los inmigrantes como Françoise son el blancodel resentimiento de Jean-Paul. Entretanto, Duong se esfuerza por ahorrar",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC ADV ADJ VSfin ART NC,2,5,False,True,non termes,False,,0,2
H01,H1_economy_12,economy,hyp_attributif,left,['trabajadores'],[None],la_ART_el nutrición_NC_nutrición de_PREP_de los_ART_el trabajadores_NC_trabajador son_VSfin_ser la_ART_el clave_NC_clave,la nutrición de los trabajadores son la clave,inversiones en la capacitación y el mejoramiento de la salud y la nutrición de los trabajadores son la claveno sólo del bienestar de la población activa sino también del buen,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC PREP ART NC VSfin ART NC,11,21,False,False,non termes,False,,1,10
H01,H1_economy_13,economy,hyp_attributif,left,['economía'],[None],las_ART_el mujeres_NC_mujer en_PREP_en una_ART_un economía_NC_economía dada_VLadj_dar puede_VMfin_poder ser_VSinf_ser reflejo_NC_reflejo,las mujeres en una economía dada puede ser reflejo,en el mercado de trabajo. El salario más bajo de las mujeres en una economía dada puede ser reflejode su menor productividad en el empleo. En los países en,« NON »,"NON;Negation, interrogation, probabilité (pouvoir;poder)",ART NC PREP ART NC VLadj VMfin VSinf NC,1,1,False,True,,False,,0,1
H01,H1_economy_14,economy,hyp_attributif,left,['variables'],[None],las_ART_el variables_NC_variable del_PDEL_del primer_ORD_nu|primero miembro_NC_miembro son_VSfin_ser constantes_NC_constante,las variables del primer miembro son constantes,". De este modo, podemos escribir xxx, donde todas las variables del primer miembro son constantes. Si tomamos logaritmos y derivamos respecto del tiempo obtenemos la siguiente",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC PDEL ORD NC VSfin NC,1,1,False,True,,False,,0,1
