id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H1_economy_1,none,[None],[None], Los destinatarios de la presente Decisión son los Estados,de asociarlos total o parcialmente al programa. Los destinatarios de la presente Decisión son los Estadosmiembros. CONTENIDO CIENTÍFICO Y TÉCNICO El presente programa específico refleja plenamente
H1_economy_2,left,['investigación'],[None], La investigación es un elemento,"0, 8 % de la población. La investigación es un elementoindispensable de cualquier estrategia que se proponga mejorar la salud de los"
H1_economy_3,left,['farmacéutica'],[None], Investigación farmacéutica El objetivo general es el desarrollo,"cuidados en fase terminal y la rehabilitación. Investigación farmacéutica El objetivo general es el desarrollode las bases científicas y técnicas necesarias para evaluar nuevos medicamentos,"
H1_economy_4,left,"['enfermedades', 'cardiovasculares', 'cáncer', 'enfermedades cardiovasculares']",[None], enfermedades cardiovasculares y de cáncer y son objeto,". Dos tercios de la población mueren de enfermedades cardiovasculares y de cáncer y son objetode preocupación cada vez mayor las enfermedades infecciosas, como el sida"
H1_economy_5,both,"['enfermedades', 'frecuentes']",['enfermedades'], Las enfermedades poco frecuentes son enfermedades,e integrada. Investigación sobre enfermedades poco frecuentes Las enfermedades poco frecuentes son enfermedades(alrededor de 5000 tipos) en las que el principio de
H1_economy_6,right,[None],['talasemia'], Ejemplos de esto son la talasemia,"expresión bioquímica y física de la enfermedad. Ejemplos de esto son la talasemia, enfermedades metabólicas congénitas debidas a peroxisomas anormales, etc. Entre"
H1_economy_7,both,"['células', 'sistema', 'nervioso', 'cerebro', 'sistema nervioso', 'células del sistema', 'células del sistema nervioso']",['órgano'], las células del sistema nervioso El cerebro es el órgano,Estructura y funciones de las células del sistema nervioso El cerebro es el órganoque mueve los músculos. Esta afirmación puede parecer un poco simple
H1_economy_8,left,['sinapsis'],[None], través de la sinapsis que es una unión,de una neurona a otra se transmiten a través de la sinapsis que es una uniónentre los botones terminales (descritos más adelante) de la neurona
H1_economy_9,both,"['neurona', 'axón', 'neurona multipolar']",['tubo'], una neurona multipolar Axón El axón es un tubo,célula. Figura Principales estructuras o regiones de una neurona multipolar Axón El axón es un tubolargo y delgados a menudo recubierto por una vaina de mielina (
H1_economy_10,right,[None],['dendritas'], SNC son dendritas,las ramas de los árboles) alejadas del SNC son dendritas; las que se hallan en el SNC acaban en botones terminales
H1_economy_11,left,"['neurona', 'proteínas', 'neurona multipolar']",[None], una neurona multipolar Las proteínas son elementos,proteínas específicas. Figura Principales estructuras internas de una neurona multipolar Las proteínas son elementosparticularmente importantes para las funciones celulares. Además de tener una función
H1_economy_12,left,['enzimas'],[None], Los enzimas son moléculas,"mediante el control de las reacciones químicas. Los enzimas son moléculasproteicas especiales que actúan como catalizadores: es decir, hacen que"
H1_economy_13,both,['mitocondrias'],['organismos'], tiempo las mitocondrias eran organismos,"de los biólogos celulares creen que hace mucho tiempo las mitocondrias eran organismosvivos libres, que "" infectaron "" a las células más grandes"
H1_economy_14,both,['aparato'],['tipo'], El aparato de Golgi es un tipo,"de tipo graso) se producen aquí. El aparato de Golgi es un tipoespecial de retículo endoplasmático. Algunas moléculas complejas, constituidas por moléculas"
H1_economy_15,both,['neuronas'],['células'], las neuronas son células,"célula. Tal como veremos más adelante, las neuronas son célulassecretoras; se comunican entre sí por medio de sustancias que son"
H1_economy_16,both,['neuronas'],['células'], Las neuronas son células,", pero hace mucho más que esto. Las neuronas son célulascon una existencia muy protegida: las células gliales las amortiguan física"
H1_economy_17,both,['tipos'],['astrocitos'], tipos más importantes son los astrocitos,"papel especial en el SNC. Los dos tipos más importantes son los astrocitosy la oligodendroglia. Astrocito significa célula en forma de estrella,"
H1_economy_18,left,"['área', 'área postrema']",[None], el área postrema es una parte,"puedan pasar aquí libremente. Por ejemplo, el área postrema es una partedel encéfalo que controla los vómitos. En ella, la barrera"
H1_economy_19,both,['córtex'],['capa'], el córtex es la capa,un árbol) nos ayudará a recordar que el córtex es la capamás externa del cerebro. Cuando se describen las características de una
H1_economy_20,both,['tamaño'],['ventrículos'], Las cámaras de mayor tamaño son los ventrículos,"véase la figura 4. 6). Las cámaras de mayor tamaño son los ventrículoslaterales, que están conectados con el tercer ventrículo. El tercer"
H1_economy_21,both,"['sistema', 'nervioso', 'sistema nervioso']",['salchichón'], el sistema nervioso como si fuera un salchichón,"Una sección transversal (o frontal) secciona el sistema nervioso como si fuera un salchichón, una sección horizontal lo corta paralelo al suelo, y una"
H1_economy_22,both,['movimientos'],['movimientos'], Los movimientos de convergencia son movimientos,"de convergencia, sacádicos y de búsqueda. Los movimientos de convergencia son movimientoscooperativos que mantienen la fijación de ambos ojos sobre el mismo objetivo"
