id,subid,presence,candidate_term_left,candidate_term_right,occurrence,full_context,annotation,justification,comment,non sure,check,Pivot,tags,inclusive,exclusive,global_freq
H01,H1_medicine_1,none,[None],[None],Los destinatarios de la presente Decisión son los Estados,de asociarlos total o parcialmente al programa. Los destinatarios de la presente Decisión son los Estadosmiembros. CONTENIDO CIENTÍFICO Y TÉCNICO El presente programa específico refleja plenamente,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,Los_ART_el destinatarios_NC_destinatario de_PREP_de la_ART_el presente_ADJ_presente Decisión_NC_decisión son_VSfin_ser los_ART_el Estados_NC_estado,ART NC PREP ART ADJ NC VSfin ART NC,False,True,1
H01,H1_medicine_2,left,['investigación'],[None],La investigación es un elemento,"0, 8 % de la población. La investigación es un elementoindispensable de cualquier estrategia que se proponga mejorar la salud de los",« OUI »,OUI;Il y a une relation d'hyperonymie entre deux CT du LST,,False,,La_ART_el investigación_NC_investigación es_VSfin_ser un_ART_un elemento_NC_elemento,ART NC VSfin ART NC,False,False,22
H01,H1_medicine_3,left,['farmacéutica'],[None],Investigación farmacéutica El objetivo general es el desarrollo,"cuidados en fase terminal y la rehabilitación. Investigación farmacéutica El objetivo general es el desarrollode las bases científicas y técnicas necesarias para evaluar nuevos medicamentos,",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,Investigación_NC_investigación farmacéutica_ADJ_farmacéutico El_ART_el objetivo_NC_objetivo general_ADJ_general es_VSfin_ser el_ART_el desarrollo_NC_desarrollo,NC ADJ ART NC ADJ VSfin ART NC,False,True,1
H01,H1_medicine_4,left,"['enfermedades', 'cardiovasculares', 'cáncer', 'enfermedades cardiovasculares']",[None],enfermedades cardiovasculares y de cáncer y son objeto,". Dos tercios de la población mueren de enfermedades cardiovasculares y de cáncer y son objetode preocupación cada vez mayor las enfermedades infecciosas, como el sida",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,enfermedades_NC_enfermedad cardiovasculares_ADJ_cardiovascular y_CC_y de_PREP_de cáncer_NC_cáncer y_CC_y son_VSfin_ser objeto_NC_objeto,NC ADJ CC PREP NC CC VSfin NC,False,True,1
H01,H1_medicine_5,both,"['enfermedades', 'frecuentes']",['enfermedades'],Las enfermedades poco frecuentes son enfermedades,e integrada. Investigación sobre enfermedades poco frecuentes Las enfermedades poco frecuentes son enfermedades(alrededor de 5000 tipos) en las que el principio de,« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,,False,,Las_ART_el enfermedades_NC_enfermedad poco_ADV_poco frecuentes_ADJ_frecuente son_VSfin_ser enfermedades_NC_enfermedad,ART NC ADV ADJ VSfin NC,True,False,1
H01,H1_medicine_6,right,[None],['talasemia'],Ejemplos de esto son la talasemia,"expresión bioquímica y física de la enfermedad. Ejemplos de esto son la talasemia, enfermedades metabólicas congénitas debidas a peroxisomas anormales, etc. Entre",« OUI »,"OUI;L’un des deux éléments est un candidat-terme du domaine, l’autre etc., ou un pronom (« la que » par exemple)",,False,,Ejemplos_NC_ejemplo de_PREP_de esto_DM_este son_VSfin_ser la_ART_el talasemia_NC_talasemia,NC PREP DM VSfin ART NC,True,False,1
H01,H1_medicine_7,both,"['células', 'sistema', 'nervioso', 'cerebro', 'sistema nervioso', 'células del sistema', 'células del sistema nervioso']",['órgano'],las células del sistema nervioso El cerebro es el órgano,Estructura y funciones de las células del sistema nervioso El cerebro es el órganoque mueve los músculos. Esta afirmación puede parecer un poco simple,« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,,False,,las_ART_el células_NC_célula del_PDEL_del sistema_NC_sistema nervioso_ADJ_nervioso El_ART_el cerebro_NC_cerebro es_VSfin_ser el_ART_el órgano_NC_órgano,ART NC PDEL NC ADJ ART NC VSfin ART NC,True,False,1
H01,H1_medicine_8,left,['sinapsis'],[None],través de la sinapsis que es una unión,de una neurona a otra se transmiten a través de la sinapsis que es una uniónentre los botones terminales (descritos más adelante) de la neurona,« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,,False,,través_NC_través de_PREP_de la_ART_el sinapsis_NC_sinapsis que_CQUE_que es_VSfin_ser una_ART_un unión_NC_unión,NC PREP ART NC CQUE VSfin ART NC,True,False,1
H01,H1_medicine_9,both,"['neurona', 'axón', 'neurona multipolar']",['tubo'],una neurona multipolar Axón El axón es un tubo,célula. Figura Principales estructuras o regiones de una neurona multipolar Axón El axón es un tubolargo y delgados a menudo recubierto por una vaina de mielina (,« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,,False,,una_ART_un neurona_NC_neurona multipolar_ADJ_multipolar Axón_NC_axón El_ART_el axón_NC_axón es_VSfin_ser un_ART_un tubo_NC_tubo,ART NC ADJ NC ART NC VSfin ART NC,True,False,1
H01,H1_medicine_10,right,[None],['dendritas'],SNC son dendritas,las ramas de los árboles) alejadas del SNC son dendritas; las que se hallan en el SNC acaban en botones terminales,« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,https://dtme.ranm.es/buscador.aspx?NIVEL_BUS=3&LEMA_BUS=arborizaci%C3%B3n,False,,SNC_NP_SNC son_VSfin_ser dendritas_NC_dendrita,NP VSfin NC,True,False,2
