Reference,LeftContext,Pivot,RightContext
1_e00001-plain,", el elevado costo del transporte de las exportaciones demuestra que",la_ART_el falta_NC_falta de_PREP_de infraestructura_NC_infraestructura apropiada_ADJ_apropiado puede_VMfin_poder ser_VSinf_ser un_ART_un impedimento_NC_impedimento,grave para la integración. Países de integración rápida y lenta Si
1_e00001-plain,de los productos manufacturados en el total de las exportaciones.,El_ART_el índice_NC_índice de_PREP_de integración_NC_integración es_VSfin_ser el_ART_el promedio_NC_promedio,simple de las variaciones de los cuatro indicadores en el período señalado
1_e00001-plain,varían en forma considerable en las distintas regiones en desarrollo.,Los_ART_el aranceles_NC_arancel son_VSfin_ser un_ART_un factor_NC_factor,importante porque cuando los niveles de protección son elevados el crecimiento puede
1_e00001-plain,países de integración escasa y lenta. Un factor que explica,la_ART_el relación_NC_relación entre_PREP_entre integración_NC_integración y_CC_y crecimiento_NC_crecimiento es_VSfin_ser el_ART_el efecto_NC_efecto,favorable de un sistema de comercio más libre y de la inversión
1_e00001-plain,del ambiente institucional y las políticas que adopten los gobiernos.,La_ART_el reforma_NC_reforma de_PREP_de las_ART_el políticas_NC_política es_VSfin_ser un_ART_un factor_NC_factor,fundamental La importancia que reviste la reforma de las políticas queda de
1_e00001-plain,el sector de exportaciones de la economía. Se estima que,la_ART_el inestabilidad_NC_inestabilidad macroeconómica_ADJ_macroeconómico fue_VSfin_ser la_ART_el causa_NC_causa,"de la disminución de hasta 0, 9 puntos porcentuales al año"
1_e00001-plain,necesario. El segundo aspecto en materia de políticas que afecta,el_ART_el ritmo_NC_ritmo de_PREP_de integración_NC_integración es_VSfin_ser la_ART_el disponibilidad_NC_disponibilidad,"y el mantenimiento adecuado de la infraestructura económica necesaria, en particular"
1_e00001-plain,e histórica que ayudará a determinar su éxito. Dado que,el_ART_el regionalismo_NC_regionalismo es_VSfin_ser un_ART_un fenómeno_NC_fenómeno,"bastante reciente y adopta múltiples formas, no admite conclusiones simples."
1_e00001-plain,provenientes de países en desarrollo. Probablemente los principales beneficiarios de,la_ART_el eliminación_NC_eliminación gradual_ADJ_gradual del_PDEL_del Acuerdo_NC_acuerdo Multifibras_NP_Multifibras serán_VSfin_ser los_ART_el países_NC_país,productores más eficientes cuyas exportaciones a los mercados de los países industriales
1_e00001-plain,regionales Asia oriental Los extraordinarios resultados en materia de exportaciones y,el_ART_el dinamismo_NC_dinamismo de_PREP_de la_ART_el inversión_NC_inversión continuaron_VLfin_continuar siendo_VSger_ser los_ART_el pilares_NC_pilar,del acelerado crecimiento del producto en Asia oriental durante 1995. Por
