id,presence,candidate_term_left,candidate_term_right,occurrence,full_context,topic,sub_id,relational_semantic_type
H1,none,[None],[None], la falta de infraestructura apropiada puede ser un impedimento,", el elevado costo del transporte de las exportaciones demuestra que la falta de infraestructura apropiada puede ser un impedimentograve para la integración. Países de integración rápida y lenta Si",economy,H1_economy_1,hyp_attributif
H1,both,"['índice', 'integración', 'índice de integración']",['promedio'], El índice de integración es el promedio,de los productos manufacturados en el total de las exportaciones. El índice de integración es el promediosimple de las variaciones de los cuatro indicadores en el período señalado,economy,H1_economy_2,hyp_attributif
H1,both,['aranceles'],['factor'], Los aranceles son un factor,varían en forma considerable en las distintas regiones en desarrollo. Los aranceles son un factorimportante porque cuando los niveles de protección son elevados el crecimiento puede,economy,H1_economy_3,hyp_attributif
H1,both,"['relación', 'integración', 'crecimiento']",['efecto'], la relación entre integración y crecimiento es el efecto,países de integración escasa y lenta. Un factor que explica la relación entre integración y crecimiento es el efectofavorable de un sistema de comercio más libre y de la inversión,economy,H1_economy_4,hyp_attributif
H1,right,[None],['factor'], La reforma de las políticas es un factor,del ambiente institucional y las políticas que adopten los gobiernos. La reforma de las políticas es un factorfundamental La importancia que reviste la reforma de las políticas queda de,economy,H1_economy_5,hyp_attributif
H1,left,"['inestabilidad', 'inestabilidad macroeconómica']",[None], la inestabilidad macroeconómica fue la causa,"el sector de exportaciones de la economía. Se estima que la inestabilidad macroeconómica fue la causade la disminución de hasta 0, 9 puntos porcentuales al año",economy,H1_economy_6,hyp_attributif
H1,left,"['ritmo', 'integración', 'ritmo de integración']",[None], el ritmo de integración es la disponibilidad,"necesario. El segundo aspecto en materia de políticas que afecta el ritmo de integración es la disponibilidady el mantenimiento adecuado de la infraestructura económica necesaria, en particular",economy,H1_economy_7,hyp_attributif
H1,right,[None],['fenómeno'], el regionalismo es un fenómeno,"e histórica que ayudará a determinar su éxito. Dado que el regionalismo es un fenómenobastante reciente y adopta múltiples formas, no admite conclusiones simples.",economy,H1_economy_8,hyp_attributif
H1,left,['gradual'],[None], la eliminación gradual del Acuerdo Multifibras serán los países,provenientes de países en desarrollo. Probablemente los principales beneficiarios de la eliminación gradual del Acuerdo Multifibras serán los paísesproductores más eficientes cuyas exportaciones a los mercados de los países industriales,economy,H1_economy_9,hyp_attributif
H1,left,"['dinamismo', 'inversión']",[None], el dinamismo de la inversión continuaron siendo los pilares,regionales Asia oriental Los extraordinarios resultados en materia de exportaciones y el dinamismo de la inversión continuaron siendo los pilaresdel acelerado crecimiento del producto en Asia oriental durante 1995. Por,economy,H1_economy_10,hyp_attributif
H1,none,[None],[None], los inmigrantes como Françoise son el blanco,"Hoa, que aceptan salarios más bajos, en tanto que los inmigrantes como Françoise son el blancodel resentimiento de Jean-Paul. Entretanto, Duong se esfuerza por ahorrar",economy,H1_economy_11,hyp_attributif
H1,left,['trabajadores'],[None], la nutrición de los trabajadores son la clave,inversiones en la capacitación y el mejoramiento de la salud y la nutrición de los trabajadores son la claveno sólo del bienestar de la población activa sino también del buen,economy,H1_economy_12,hyp_attributif
H1,left,['economía'],[None], las mujeres en una economía dada puede ser reflejo,en el mercado de trabajo. El salario más bajo de las mujeres en una economía dada puede ser reflejode su menor productividad en el empleo. En los países en,economy,H1_economy_13,hyp_attributif
H1,left,['variables'],[None], las variables del primer miembro son constantes,". De este modo, podemos escribir xxx, donde todas las variables del primer miembro son constantes. Si tomamos logaritmos y derivamos respecto del tiempo obtenemos la siguiente",economy,H1_economy_14,hyp_attributif
H1,right,[None],['fuente'], las actividades de I D son una fuente,"sido empleado en muchos trabajos por los economistas que creen que las actividades de I D son una fuenteimportante de crecimiento económico. En el capítulo 9, analizaremos un",economy,H1_economy_15,hyp_attributif
H1,left,"['tasa', 'depreciación', 'tasa de depreciación']",[None], la tasa de depreciación es un determinante,"de esto, y como se podrá constatar más adelante, la tasa de depreciación es un determinanteimportante de la tasa de crecimiento de la economía, por lo",economy,H1_economy_16,hyp_attributif
H1,right,[None],['familia'], el agente representativo es una familia,"A partir de Barro (1974), se supone que el agente representativo es una familiao un grupo de individuos vinculados unos con otros a través del",economy,H1_economy_17,hyp_attributif
H1,none,[None],[None], los niños del presente serán los adultos,"aumentará las tasas de fertilidad en el futuro, puesto que los niños del presente serán los adultosque ganarán estos mayores salarios. Mayores salarios futuros, por lo",economy,H1_economy_18,hyp_attributif
H1,both,['fertilidad'],['variables'], la emigración y la fertilidad son variables,donde se recogen ejemplos de modelos de crecimiento en los que la emigración y la fertilidad son variablesendógenas. Braun (1993) examina también modelos de migración y,economy,H1_economy_19,hyp_attributif
H1,both,"['estacionario', 'estado estacionario']",['supuesto'], el estado estacionario es el supuesto,. La razón intuitiva que explica la ausencia de crecimiento en el estado estacionario es el supuestode que los rendimientos del capital son decrecientes y se aproximan a,economy,H1_economy_20,hyp_attributif
H1,left,"['transición', 'modelo']",[None], la transición Un aspecto importante del modelo es la rapidez,a xxx. 2 Una medida cuantitativa de la duración de la transición Un aspecto importante del modelo es la rapidezcon la cual la economía alcanza el nuevo estado estacionario. Para,economy,H1_economy_21,hyp_attributif
H1,left,"['capital', 'físico', 'capital físico', 'participación del capital', 'participación del capital físico']",[None], la participación del capital físico es xxx,"que la velocidad de convergencia es igual a xxx. Si la participación del capital físico es xxxy la participación del capital humano xxx, la tasa relevante del",economy,H1_economy_22,hyp_attributif
H1,both,"['utilidad', 'individuos']",['suma'], la utilidad de los individuos es la suma,"población. La expresión (3. 1) indica que la utilidad de los individuos es la suma(es decir, la integral) de sus funciones instantáneas de",economy,H1_economy_23,hyp_attributif
H1,left,['modelo'],[None], los agentes del modelo son dinastías,"las herencias intergeneracionales. En este contexto, deberemos suponer que los agentes del modelo son dinastíaso familias, siendo el número de individuos pertenecientes a cada dinastía",economy,H1_economy_24,hyp_attributif
H1,both,"['función', 'utilidad', 'función de utilidad']",['consumo'], el argumento de la función de utilidad es el consumo,"cero. Condiciones análogas se aplican al trabajo. Obsérvese que el argumento de la función de utilidad es el consumoper cápita (c minúscula), mientras que en la restricción",economy,H1_economy_25,hyp_attributif
