Reference,LeftContext,Pivot,RightContext,presence,candidate_term_left,candidate_term_right,occurrence
1_e00001-plain,de políticas que afecta el ritmo de integración es la disponibilidad y,"el_ART_el mantenimiento_NC_mantenimiento adecuado_VLadj_adecuar de_PREP_de la_ART_el infraestructura_NC_infraestructura económica_ADJ_económico necesaria_ADJ_necesario,_CM_, en_PREP_en particular_ADJ_particular las_ART_el telecomunicaciones_NC_telecomunicación",y el transporte. Contar con un sistema de comunicaciones de alta,none,[None],[None], el mantenimiento adecuado de la infraestructura económica necesaria en particular las telecomunicaciones
1_e00001-plain,"suministro de incentivos de mercado en el sector privado, y eliminar","los_ART_el obstáculos_NC_obstáculo normativos_ADJ_normativo,_CM_, sobre_PREP_sobre todo_QU_todo para_PREP_para las_ART_el empresas_NC_empresa","extranjeras. - Aumento de las actividades de investigación y desarrollo,",none,[None],[None], los obstáculos normativos sobre todo para las empresas
1_e00004-plain,"varían extraordinariamente. En los países pobres, el 61 % de","la_ART_el población_NC_población activa_ADJ_activo trabaja_VLfin_trabajar en_PREP_en la_ART_el agricultura_NC_agricultura,_CM_, sobre_PREP_sobre todo_QU_todo en_PREP_en explotaciones_NC_explotación",agrícolas familiares; el 22 % trabaja en el sector rural no,left,"['población', 'activa']",[None], la población activa trabaja en la agricultura sobre todo en explotaciones
1_e00004-plain,de bienes y servicios en los países receptores. La participación en,"el_ART_el comercio_NC_comercio internacional_ADJ_internacional ha_VHfin_haber beneficiado_VLadj_beneficiar a_PREP_a muchos_QU_mucho trabajadores_NC_trabajador,_CM_, sobre_PREP_sobre todo_QU_todo en_PREP_en las_ART_el explotaciones_NC_explotación","agrícolas, las fábricas y el sector de servicios de Asia.",left,['muchos'],[None], el comercio internacional ha beneficiado a muchos trabajadores sobre todo en las explotaciones
1_e00004-plain,y mediano. Algunos grupos de trabajadores relativamente pobres han logrado grandes,"progresos_NC_progreso en_PREP_en los_ART_el últimos_ADJ_último 30_CARD_@card@ años_NC_año,_CM_, sobre_PREP_sobre todo_QU_todo en_PREP_en Asia_NP_Asia",". Sin embargo, no se ha observado ninguna tendencia mundial hacia",none,[None],[None], progresos en los últimos años sobre todo en Asia
1_e00053-plain,mantendrá la mayor equidad practicable entre el trabajo y los factores cuya,"remuneración_NC_remuneración se_SE_se fija_VLfin_fijar contractualmente_ADV_contractual en_PREP_en términos_NC_término monetarios_ADJ_monetario,_CM_, en_PREP_en particular_ADJ_particular entre_PREP_entre la_ART_el clase_NC_clase",rentista y las personas que tienen sueldos fijos en una firma establecida,both,['términos'],['clase'], remuneración se fija contractualmente en términos monetarios en particular entre la clase
1_e00053-plain,por las condiciones de la oferta y la demanda; habiendo desempeñado,"papel_NC_papel prominente_ADJ_prominente,_CM_, en_PREP_en particular_ADJ_particular,_CM_, los_ART_el cambios_NC_cambio",en el costo marginal y en la elasticidad de oferta en periodos,both,['prominente'],['cambios'], papel prominente en particular los cambios
1_e00053-plain,"de la distribución y no una teoría del dinero "" autónoma.","El_ART_el dinero_NC_dinero en_PREP_en sus_PPO_suyo atributos_NC_atributo importantes_ADJ_importante es_VSfin_ser,_CM_, sobre_PREP_sobre todo_QU_todo,_CM_, un_ART_un artificio_NC_artificio",sutil para ligar el presente con el futuro; y no podemos,left,['atributos'],[None], El dinero en sus atributos importantes es sobre todo un artificio
1_e00079-plain,grave error. Y también es verdad que siempre que intentamos interpretar,"actitudes_NC_actitud humanas_ADJ_humano,_CM_, sobre_PREP_sobre todo_QU_todo actitudes_NC_actitud","de hombres muy lejanos de nosotros cronológica o culturalmente, corremos el",none,[None],[None], actitudes humanas sobre todo actitudes
1_e00079-plain,de clase o grupo bien definido. [7] Tercero:,"Marx_NP_Marx y_CC_y,_CM_, sobre_PREP_sobre todo_QU_todo,_CM_, la_ART_el mayoría_NC_mayoría",de sus seguidores han supuesto demasiado fácilmente que los enunciados sometidos a,right,[None],['mayoría'], Marx y sobre todo la mayoría
1_e00079-plain,"término es de origen francés y significó al principio, simplemente,","el_ART_el análisis_NC_análisis de_PREP_de las_ART_el ideas_NC_idea o_CC_o contenidos_VLadj_contener mentales_ADJ_mental,_CM_, sobre_PREP_sobre todo_QU_todo en_PREP_en relación_NC_relación","con las teorías de Condillac. A veces se usó también,",left,"['análisis', 'mentales']",[None], el análisis de las ideas o contenidos mentales sobre todo en relación
1_e00079-plain,teoría pura de ese proceso. Sus pensamientos se orientaban hacia amplias,"generalizaciones_NC_generalización de_PREP_de épocas_NC_época más_ADV_más antiguas_ADJ_antiguo,_CM_, pero_CCAD_pero,_CM_, ante_PREP_ante todo_QU_todo,_CM_, Thunen_NP_Thunen",era un agrónomo educado en las ideas de Thaer y un cultivador,left,['generalizaciones'],[None], generalizaciones de épocas más antiguas pero ante todo Thunen
1_e00079-plain,es una característica destacada de nuestro tiempo. El anterior análisis de,"los_ART_el factores_NC_factor que_CQUE_que produjeron_VLfin_producir la_ART_el macrodinámica_NC_macrodinámica y_CC_y,_CM_, en_PREP_en particular_ADJ_particular,_CM_, la_ART_el macrodinámica_NC_macrodinámica","estadística, permite inferir que este desarrollo se habría producido aunque no",left,['factores'],[None], los factores que produjeron la macrodinámica y en particular la macrodinámica
1_e00091-plain,"de incremento de tipos de interés. En la City londinense,","el_ART_el mantenimiento_NC_mantenimiento de_PREP_de tipos_NC_tipo oficiales_ADJ_oficial y_CC_y,_CM_, sobre_PREP_sobre todo_QU_todo,_CM_, la_ART_el influencia_NC_influencia","de la bolsa neoyorquina, más intensa que en el continente,",left,['tipos'],[None], el mantenimiento de tipos oficiales y sobre todo la influencia
1_e00091-plain,"se manifestó también en el comercio de servicios, marcado también por","un_ART_un auge_NC_auge importante_ADJ_importante de_PREP_de las_ART_el exportaciones_NC_exportación,_CM_, en_PREP_en particular_ADJ_particular,_CM_, gracias_NC_gracia","al turismo, hasta el punto que el saldo de la rúbrica",none,[None],[None], un auge importante de las exportaciones en particular gracias
