Reference	LeftContext	Pivot	RightContext
1_e00001-plain	consolidarán su recuperación e incluso conseguirán un crecimiento superior al de todas	las_ART_el regiones_NC_región en_PREP_en desarrollo_NC_desarrollo,_CM_, con_PREP_con excepción_NC_excepción de_PREP_de Asia_NP_Asia	oriental y Asia meridional. Aunque, según las previsiones, todas
1_e00001-plain	% en los dos últimos años. La inflación aumentó en todos	los_ART_el países_NC_país de_PREP_de la_ART_el región_NC_región,_CM_, excepto_PREP_excepto en_PREP_en India_NP_India	, debido en gran parte a que no se alcanzaron las metas
1_e00001-plain	primer semestre de ese año, y lo propio ocurrió en otros	países_NC_país de_PREP_de la_ART_el región_NC_región,_CM_, excepto_PREP_excepto Chile_NP_Chile	y Colombia. En el segundo semestre de 1995 casi todos los
1_e00004-plain	más pero ganan menos que los hombres debido a que tienen más	responsabilidades_NC_responsabilidad en_PREP_en el_ART_el hogar_NC_hogar,_CM_, menos_ADV_menos educación_NC_educación	o menos acceso a empleos mejor remunerados. En la India,
1_e00032-plain	del Precio. - Las opciones no estarán sujetas a máximas de	fluctuación_NC_fluctuación diaria_ADJ_diario,_CM_, excepto_PREP_excepto cuando_CSUBX_cuando las_ART_el condiciones_NC_condición	del mercado lo requieran. En estos casos el límite máximo de
1_e00032-plain	del Precio. - Las opciones no estarán sujetas a máximas de	fluctuación_NC_fluctuación diaria_ADJ_diario,_CM_, excepto_PREP_excepto cuando_CSUBX_cuando las_ART_el condiciones_NC_condición	del mercado lo requieran. En estos casos el límite máximo de
1_e00032-plain	del Precio. - Las opciones no estarán sujetas a máximas de	fluctuación_NC_fluctuación diaria_ADJ_diario,_CM_, excepto_PREP_excepto cuando_CSUBX_cuando las_ART_el condiciones_NC_condición	del mercado lo requieran. En estos casos el límite máximo de
1_e00032-plain	del Precio. - Las opciones no estarán sujetas a máximas de	fluctuación_NC_fluctuación diaria_ADJ_diario,_CM_, excepto_PREP_excepto cuando_CSUBX_cuando las_ART_el condiciones_NC_condición	del mercado lo requieran. En estos casos el límite máximo de
1_e00051-plain	que, en este modelo, el ahorro total es igual a	la_ART_el producción_NC_producción total_ADJ_total per_NC_per cápita_NC_cápita,_CM_, xxx_NP_xxx,_CM_, menos_ADV_menos el_ART_el consumo_NC_consumo	agregado C, la restricción presupuestaria se puede escribir de la siguiente
1_e00051-plain	que (9. 5) incluye las rentas de alquiler entre	el_ART_el momento_NC_momento inicial_ADJ_inicial e_CC_y infinito_ADJ_infinito,_CM_, descontadas_VLadj_descontar al_PAL_al tipo_NC_tipo	de interés real xxx (en equilibrio, la tasa de interés
1_e00053-plain	escala infinita de valores, todos ellos igualmente admisibles, y que	el_ART_el volumen_NC_volumen de_PREP_de ocupación_NC_ocupación es_VSfin_ser indeterminado_ADJ_indeterminado,_CM_, salvo_ADJ_salvo en_PREP_en la_ART_el medida_NC_medida	en que la desutilidad del trabajo marque un límite superior. Si
1_e00053-plain	ocupación no está, pues, fijado por la desutilidad marginal del	trabajo_NC_trabajo,_CM_, medida_NC_medida en_PREP_en salarios_NC_salario reales_ADJ_real,_CM_, excepto_PREP_excepto en_PREP_en el_ART_el caso_NC_caso	de que la oferta disponible de mano de obra para una magnitud
1_e00053-plain	un complejo no homogéneo, que no puede medirse, hablando en	sentido_NC_sentido estricto_ADJ_estricto,_CM_, excepto_PREP_excepto en_PREP_en casos_NC_caso	especiales, como, por ejemplo, cuando todos los componentes de
1_e00053-plain	sumamos la actividad de todas las empresas, no podemos expresarnos con	precisión_NC_precisión,_CM_, excepto_PREP_excepto en_PREP_en términos_NC_término	de cantidades de ocupación aplicadas a un equipo dado. Los conceptos
1_e00053-plain	que si bien no son inalterables, no presentan probabilidades de sufrir	un_ART_un cambio_NC_cambio sustancial_ADJ_sustancial en_PREP_en periodos_NC_periodo cortos_ADJ_corto,_CM_, excepto_PREP_excepto en_PREP_en circunstancias_NC_circunstancia	anormales o revolucionarias. En una investigación histórica, o al comparar
1_e00053-plain	la compra de una inversión debe ser permanente e indisoluble, como	el_ART_el matrimonio_NC_matrimonio,_CM_, excepto_PREP_excepto por_PREP_por motivo_NC_motivo	de muerte o de otra causa grave, y esto será un
1_e00053-plain	este modo, la baja de los salarios nominales no tenderá aumentar	la_ART_el ocupación_NC_ocupación durante_PREP_durante mucho_QU_mucho tiempo_NC_tiempo,_CM_, excepto_PREP_excepto en_PREP_en virtud_NC_virtud	de sus repercusiones, ya sea sobre la propensión a consumir de
1_e00053-plain	favorable, empeore la relación de intercambio. Por tanto, habrá	una_ART_un reducción_NC_reducción en_PREP_en los_ART_el ingresos_NC_ingreso reales_ADJ_real,_CM_, excepto_PREP_excepto en_PREP_en el_ART_el caso_NC_caso	de quienes hayan sido recientemente empleados, lo que puede influir en
1_e00053-plain	futuro; y no podemos siquiera empezar a examinar el efecto de	las_ART_el expectativas_NC_expectativa cambiantes_VLadj_cambiar sobre_PREP_sobre las_ART_el actividades_NC_actividad corrientes_ADJ_corriente,_CM_, excepto_PREP_excepto en_PREP_en términos_NC_término	monetarios. No podemos librarnos del dinero aun cuando aboliéramos el oro
1_e00053-plain	la inversión, resulta evidente que no hay medios de asegurar mayor	nivel_NC_nivel de_PREP_de ocupación_NC_ocupación,_CM_, excepto_PREP_excepto aumentando_VLger_aumentar el_ART_el consumo_NC_consumo	. Prácticamente solo difiero de estas escuelas en que pienso que quizá
1_e00053-plain	de una recompensa en forma de interés, no existiría, a	la_ART_el larga_NC_larga,_CM_, excepto_PREP_excepto en_PREP_en el_ART_el caso_NC_caso	de que la propensión individual a consumir demostrara ser de tal carácter
1_e00079-plain	Los autores de reseñas fueron amables con ella, pero ninguno entendió	la_ART_el obra_NC_obra,_CM_, salvo_PREP_salvo la_ART_el parte_NC_parte	aducida infra bajo (III). En cuanto al resto,
1_e00079-plain	menos de lo que habría podido ser. Ninguno de los demás	partidos_NC_partido marxistas_ADJ_marxista existentes_ADJ_existente,_CM_, salvo_PREP_salvo el_ART_el austríaco_NC_austríaco	, tuvo importancia cuantitativa. Los partidos socialistas no marxistas que se
1_e00091-plain	dólares mensuales. - Importaciones cif., exportaciones fob. -	Desestacionalizada_NP_Desestacionalizada,_CM_, excepto_PREP_excepto últimos_ADJ_último datos_NC_dato	. - Porcentaje sobre población activa. - UE y OCDE,
