Reference	LeftContext	Pivot	RightContext
1_e00001-plain	económica. En la práctica, existe una estrecha relación positiva	entre_PREP_entre la_ART_el estabilidad_NC_estabilidad macroeconómica_ADJ_macroeconómico ---por_NC_---por	ejemplo, la magnitud de los déficit fiscales y la inestabilidad del
1_e00001-plain	bancos u otros organismos de clasificación de solvencia revela importantes diferencias	entre_PREP_entre los_ART_el países_NC_país en_PREP_en desarrollo_NC_desarrollo	, ya que muchos de ellos no tienen acceso alguno a los
1_e00001-plain	integración escasa y lenta. Se observó también una estrecha relación	entre_PREP_entre el_ART_el crecimiento_NC_crecimiento en_PREP_en el_ART_el período_NC_período	de 1984 - 93 y el grado de integración existente a principios
1_e00001-plain	integración escasa y lenta. Un factor que explica la relación	entre_PREP_entre integración_NC_integración y_CC_y crecimiento_NC_crecimiento	es el efecto favorable de un sistema de comercio más libre y
1_e00001-plain	Sin embargo, ésta es sólo una parte de la interacción	entre_PREP_entre la_ART_el integración_NC_integración y_CC_y el_ART_el crecimiento_NC_crecimiento	. El crecimiento en sí tiende a promover la integración. Las
1_e00001-plain	los mercados internacionales de bienes y capital. La estrecha relación	entre_PREP_entre el_ART_el crecimiento_NC_crecimiento y_CC_y el_ART_el ritmo_NC_ritmo	de integración económica indica también que ambos pueden verse afectados por varios
1_e00001-plain	mundial. Con todo, el establecimiento de arreglos comerciales preferenciales	entre_PREP_entre los_ART_el países_NC_país industriales_ADJ_industrial y_CC_y en_PREP_en desarrollo_NC_desarrollo	puede ofrecer importantes beneficios a estos últimos, gracias a la apertura
1_e00001-plain	credibilidad de la reforma. Las ventajas de los arreglos comerciales	entre_PREP_entre países_NC_país en_PREP_en desarrollo_NC_desarrollo	suelen ser mucho menores. Otro aspecto importante que preocupa a los
1_e00001-plain	creado un clima propicio para la inversión extranjera y nacional.	Entre_PREP_entre las_ART_el medidas_NC_medida adoptadas_VLadj_adoptar por_PREP_por estos_DM_este países_NC_país	cabe mencionar las siguientes: - Fortalecer el sector privado y aumentar
1_e00001-plain	más que otros. En comparación con el decenio anterior,	entre_PREP_entre los_ART_el factores_NC_factor que_CQUE_que favorecen_VLfin_favorecer un_ART_un crecimiento_NC_crecimiento	más elevado (además de la recuperación de las economías en transición
1_e00001-plain	6 % anual -, incluido un crecimiento significativo del intercambio	entre_PREP_entre los_ART_el países_NC_país en_PREP_en desarrollo_NC_desarrollo	. Esta evolución encontrará apoyo en la aplicación de la Ronda Uruguay
1_e00001-plain	perspectivas parten del supuesto de que se corrijan las recientes diferencias	entre_PREP_entre las_ART_el metas_NC_meta fijadas_VLadj_fijar para_PREP_para el_ART_el déficit_NC_déficit	fiscal y las cifras efectivamente alcanzadas. Ello permitiría elevar las tasas
1_e00004-plain	vida, como en este caso, hay una enorme disparidad	entre_PREP_entre las_ART_el posibilidades_NC_posibilidad de_PREP_de empleo_NC_empleo	y de ingresos en Toulouse y Ciudad Ho Chi-Minh. Es evidente
1_e00004-plain	también tiende a reducir la pobreza y la desigualdad, incluso	entre_PREP_entre hombres_NC_hombre y_CC_y mujeres_NC_mujer	. En los países que en la actualidad tienen un ingreso bajo
1_e00004-plain	también a reducir la desigualdad, tanto en los países como	entre_PREP_entre las_ART_el regiones_NC_región,_CM_, siempre_ADV_siempre y_CC_y cuando_CSUBX_cuando los_ART_el gobiernos_NC_gobierno	hagan inversiones para desarrollar la capacidad y las aptitudes de los trabajadores
1_e00004-plain	pautas de crecimiento no benefician a los trabajadores. La desigualdad	entre_PREP_entre hombres_NC_hombre y_CC_y mujeres_NC_mujer	, entre grupos étnicos y entre regiones geográficas es particularmente persistente.
1_e00004-plain	a los trabajadores. La desigualdad entre hombres y mujeres,	entre_PREP_entre grupos_NC_grupo étnicos_ADJ_étnico y_CC_y entre_PREP_entre regiones_NC_región	geográficas es particularmente persistente. Las mujeres suelen trabajar más pero ganan
1_e00004-plain	de estos grupos (en particular, las diferencias de remuneración	entre_PREP_entre hombres_NC_hombre y_CC_y mujeres_NC_mujer	suelen disminuir) pero otros quedan postergados. Ayudar a estos últimos
1_e00004-plain	obras públicas. En el sector formal, la negociación colectiva	entre_PREP_entre las_ART_el empresas_NC_empresa y_CC_y los_ART_el sindicatos_NC_sindicato	independientes constituye un método eficaz de determinar los salarios y las condiciones
