Reference	LeftContext	Pivot	RightContext
1_m00064-plain	muy cerca de un lavabo y de una fuente de agua.	El_ART_el tratamiento_NC_tratamiento,_CM_, por_PREP_por supuesto_NC_supuesto,_CM_, consiste_VLfin_consistir en_PREP_en la_ART_el administración_NC_administración de_PREP_de vasopresina_NC_vasopresina	(mediante un vaporizador nasal), que es absorbida en el
1_m00092-plain	pero es incapaz de formar enlaces cruzados con moléculas de anticuerpo.	Figura_NC_figura 5-3_CARD_@card@ Líneas_NC_línea múltiples_QU_múltiple formadas_VLadj_formar en_PREP_en la_ART_el determinación_NC_determinación de_PREP_de Ouchterlony_NP_Ouchterlony	(precipitación por doble difusión) cuando el antisuero de conejo (
1_m00278-plain	convierten en células plasmáticas, que producen grandes cantidades de anticuerpos.	Las_ART_el células_NC_célula de_PREP_de memoria_NC_memoria representan_VLfin_representar una_ART_un subpoblación_NC_subpoblación de_PREP_de células_NC_célula	B que participan en posteriores encuentros con el antígeno específico. La
1_m00302-plain	las células T cooperadores tienen moléculas CD4 en sus superficies celulares y	,_CM_, por_PREP_por lo_ART_el tanto_ADV_tanto,_CM_, constituyen_VLfin_constituir la_ART_el subpoblación_NC_subpoblación de_PREP_de linfocitos_NC_linfocito	T CD4). Cada linfocito T citotóxico puede destruir una célula
1_m00305-plain	midiendo los niveles de creatincinasa en recién nacidos. El objetivo no	consiste_VLfin_consistir en_PREP_en la_ART_el instauración_NC_instauración de_PREP_de tratamiento_NC_tratamiento	presintomático, sino en la identificación de las familias que deben recibir
1_m00305-plain	enfermedad. La población diana es un grupo conocido de riesgo.	La_ART_el «_SYM_«intervención_NC_intervención»_SYM_» consiste_VLfin_consistir en_PREP_en la_ART_el presentación_NC_presentación de_PREP_de cifras_NC_cifra	de riesgo y en la opción de diagnóstico prenatal. Las enfermedades
1_m00310-plain	tejidos, incluyendo, huesos, bazo, riñones y pulmones (	un_ART_un infarto_NC_infarto consiste_VLfin_consistir en_PREP_en la_ART_el destrucción_NC_destrucción de_PREP_de tejidos_NC_tejido	. La destrucción prematura de los eritrocitos falciformes reduce el número de
1_m00310-plain	en comparación con la hipótesis de que no están ligados. Utilizaremos	los_ART_el datos_NC_dato del_PDEL_del árbol_NC_árbol genealógico_ADJ_genealógico para_CSUBI_para formar_VLinf_formar una_ART_un relación_NC_relación de_PREP_de probabilidad_NC_probabilidad	: probabilidad de observar datos del árbol genealógico si teta = 0
1_m00327-plain	la célula tumoral que reconocen ciertos componentes de la membrana basal.	El_ART_el segundo_ORD_segundo paso_NC_paso consistía_VLfin_consistir en_PREP_en la_ART_el activación_NC_activación de_PREP_de enzimas_NC_enzima	destructivas que escindían o desenredaban moléculas de la membrana basal situadas por
1_m00344-plain	de las cuatro bases nitrogenadas posibles estaba enlazada con cada desoxirribosa.	Un_ART_un nucleótido_NC_nucleótido consistía_VLfin_consistir en_PREP_en una_ART_un combinación_NC_combinación de_PREP_de desoxirribosa_NC_desoxirribosa	, fosfato y base nitrogenada. Watson y Crick podían ver que
