id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H32_economy_1,both,['puntos'],"['igual', 'valor']", puntos con igual valor,RENTA FIJA. Precios de Ejercicio. - Se expresarán en puntos con igual valorque la Prima. HORARIO DE NEGOCIACIÓN Será el mismo que el
H32_economy_2,both,['puntos'],"['igual', 'valor']", puntos con igual valor,RENTA FIJA. Precios de Ejercicio. - Se expresarán en puntos con igual valorque la Prima. HORARIO DE NEGOCIACIÓN Será el mismo que el
H32_economy_3,both,['puntos'],"['igual', 'valor']", puntos con igual valor,RENTA FIJA. Precios de Ejercicio. - Se expresarán en puntos con igual valorque la Prima. HORARIO DE NEGOCIACIÓN Será el mismo que el
H32_economy_4,both,['puntos'],"['igual', 'valor']", puntos con igual valor,RENTA FIJA. Precios de Ejercicio. - Se expresarán en puntos con igual valorque la Prima. HORARIO DE NEGOCIACIÓN Será el mismo que el
H32_economy_5,both,['función'],"['producción', 'tipo']", la función de producción es del tipo Douglas,"por xxx [4]. Consideraremos, adicionalmente, que la función de producción es del tipo Douglas: xxx siendo xxx el nivel de la tecnología. Desde una"
H32_economy_6,both,['función'],"['producción', 'tipo']", la función de producción Douglas es del tipo xxx,"adelante) promueven un crecimiento endógeno. En este modelo, la función de producción Douglas es del tipo xxxsiendo xxx el capital privado y xxx el stock de capital agregado"
H32_economy_7,both,['funciones'],"['producción', 'tipo']", funciones de producción del tipo Douglas,"resultado). Es importante destacar que cuando se parte de funciones de producción del tipo Douglas, los dos tipos de progreso técnico son completamente equivalentes, puesto"
H32_economy_8,both,['función'],"['producción', 'tipo']", una función de producción del tipo Douglas,"análisis de algunas de estas extensiones). Si se utiliza una función de producción del tipo Douglas, la producción agregada vendrá dada por xxx siendo xxx. Supondremos"
H32_economy_9,left,"['capital', 'físico', 'capital físico']",[None], capital físico como humano por ejemplo xxx,", que el sector educativo posee una tecnología que utiliza tanto capital físico como humano por ejemplo xxx, donde xxx y xxx son el capital físico y humano utilizados"
H32_economy_10,left,['crecimiento'],[None], calidad y crecimiento véase por ejemplo Aghion,"cual es el progreso tecnológico. Para modelos de escaleras de calidad y crecimiento véase por ejemplo Aghiony Howitt (1992), Grossman y Helpman (1991,"
H32_economy_11,both,"['unidades', 'trabajo', 'unidades de trabajo']","['igual', 'remuneración']", las unidades de trabajo de igual remuneración,"trabajo. Englobamos, por decirlo así, la no-homogeneidad de las unidades de trabajo de igual remuneracióndentro del equipo, que juzgamos cada vez menos adecuado para emplear"
H32_economy_12,both,"['individuo', 'ahorra']","['igual', 'cantidad']", un individuo ahorra aumenta en igual cantidad,"está en llegar a la justificable inferencia de que, cuando un individuo ahorra aumenta en igual cantidadla inversión global. Es verdad que cuando un individuo ahorra aumenta"
H32_economy_13,both,['capital'],['curva'], capital que es igual que la curva,"los principales entre los factores que determinan la eficiencia marginal del capital que es igual que la curvade demanda de inversión. Sin embargo, no hay mucho que"
H32_economy_14,both,['ideologías'],['racionalizaciones'], las ideologías al igual que las racionalizaciones,"imposible exagerar en la importancia que tiene el hecho de que las ideologías al igual que las racionalizacionesindividuales, no son mentiras. Y que los enunciados de hecho"
H32_economy_15,left,['autores'],[None], autores adoptan una posición intermedia por ejemplo CHAFILES,"Towards a Dynamic Economics, 1948) y Stigler. Numerosos autores adoptan una posición intermedia por ejemplo CHAFILESF. Roos (Dynamic Economics, 1934). Repito también"
