Reference	LeftContext	Pivot	RightContext
1_m00003-plain	presupuesto de salud y asignación de recursos; - el transplante:	utilización_NC_utilización de_PREP_de tejidos_NC_tejido y_CC_y órganos_NC_órgano humanos_ADJ_humano,_CM_, así_ADV_así como_CSUBX_como la_ART_el organización_NC_organización	de bancos de tejidos y órganos humanos; - el consentimiento informado
1_m00248-plain	la macro-molécula que transporta la información genética. Este descubrimiento estimuló la	utilización_NC_utilización de_PREP_de virus_NC_virus y_CC_y de_PREP_de bacterias_NC_bacteria como_CSUBX_como organismos_NC_organismo	para la investigación genética, y condujo al modelo de estructura del
1_m00248-plain	de bacterias y de virus. Como describiremos a continuación, la	utilización_NC_utilización del_PDEL_del DNA_NC_dna recombinante_ADJ_recombinante es_VSfin_ser una_ART_un herramienta_NC_herramienta poderosa_ADJ_poderoso para_PREP_para el_ART_el aislamiento_NC_aislamiento	de poblaciones puras de secuencias específicas de DNA a partir de una
1_m00305-plain	. Estas técnicas incluían: 1'rend = " il la	utilización_NC_utilización de_PREP_de venenos_NC_veneno para_PREP_para el_ART_el huso_NC_huso	mitótico, como la colquicina y el colcemid, que detienen la
1_m00310-plain	motivo se denominan lugares crípticos para el corte y unión. El	uso_NC_uso de_PREP_de un_ART_un sitio_NC_sitio críptico_ADJ_críptico para_PREP_para el_ART_el proceso_NC_proceso	de corte y unión provoca la delación parcial del axón. En
1_m00324-plain	de clonación apropiado para el ADN humano. Ya hemos descrito el	uso_NC_uso de_PREP_de plásmidos_NC_plásmidos,_CM_, tales_QU_tal como_CSUBX_como el_ART_el xxx_NP_xxx	, en los días tempranos de la revolucionaria técnica del ADN recombinante
1_m00362-plain	fermentador industrial. Podojil et al. (1984) cita el	uso_NC_uso de_PREP_de matraces_NC_matraz con_PREP_con mijo_NC_mi_hijo para_PREP_para la_ART_el formación_NC_formación	de esporas de Streptomyces aureofaciens, destinado a la producción comercial de
1_m00362-plain	1982). La producción de penicilina constituye un buen ejemplo del	uso_NC_uso de_PREP_de cultivos_NC_cultivo discontinuos_ADJ_discontinuo alimentados_VLadj_alimentar para_PREP_para la_ART_el producción_NC_producción	de un metabolito secundario (Hersbach, Van der Beek y Van
1_m00649-plain	proteína, aunque su construcción aparece rodeada de dificultades. Con el	uso_NC_uso del_PDEL_del genoma_NC_genoma como_CSUBX_como sensor_NC_sensor	para determinar cambios de actividad en genes de la célula, se
1_m00668-plain	los efectos tóxicos colaterales. En la empresa Genzyme se investiga el	uso_NC_uso de_PREP_de lipoplejos_NC_lipoplejos para_PREP_para el_ART_el tratamiento_NC_tratamiento	de la fibrosis quística. Las estructuras en cuestión portan un gen
