Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
salario	693	157.87	salario___salarios	Nom
ocupación	521	147.57	ocupación___ocupaciones	Nom
tasa	776	139.91	tasa___tasas	Nom
salario nominal	184	135.65	salario nominal___salarios nominales	Nom Adjectif
capital	884	132.79	capital___capitales	Nom
teoría	374	132.73	teoría___teorías	Nom
marginal	317	132.63	marginal___marginales	Adjectif
tasa de interés	178	132.25	tasa de interés___tasas de interés	Nom Préposition Nom
vencimiento	227	131.8	vencimiento___vencimientos	Nom
tasa de crecimiento	253	125.48	tasa de crecimiento___tasas de crecimiento	Nom Préposition Nom
salario real	142	115.19	salario real___salarios reales	Nom Adjectif
demanda efectivo	128	111.31	demanda efectiva	Nom Adjectif
propensión	154	110.85	propensión	Nom
ocupación pleno	114	107.47	ocupación plena	Nom Adjectif
estacionario	114	106.99	estacionario	Nom
estado estacionario	112	106.52	estado estacionario	Nom Nom
economista	188	103.75	economista___economistas	Nom
meff	106	103.6	meff	Nom
fija	105	103.1	fija	Nom
ecuación	144	103	ecuación___ecuaciones	Nom
eficiencia marginal	100	100.59	eficiencia marginal	Nom Adjectif
función de producción	96	97.01	función de producción___funciones de producción	Nom Préposition Nom
unidad de salario	92	96.44	unidad de salario___unidad de salarios___unidades de salario___unidades de salarios	Nom Préposition Nom
capital físico	90	93.8	capital físico	Nom Adjectif
meff renta	86	93.21	meff renta	Nom Adjectif
desocupación	90	92.78	desocupación	Nom
rendimiento	283	91.27	rendimiento___rendimientos	Nom
consumir	170	89.6	consumir	Verbe
per	77	88.14	per	Verbe
peseta	119	87.85	peseta___pesetas	Nom
inversión	764	87.47	inversión___inversiones	Nom
curva	103	84.82	curva___curvas	Nom
ingreso	490	83.23	ingreso___ingresos	Nom
precio de liquidación	68	82.75	precio de liquidación___precios de liquidación	Nom Préposition Nom
volumen de ocupación	64	80.25	volumen de ocupación	Nom Préposition Nom
nominal	229	79.38	nominal___nominales	Adjectif
crecimiento	688	78.73	crecimiento___crecimientos	Nom
teoría clásico	62	78.32	teoría clásica	Nom Adjectif
nuestro	64	77.8	nuestro	Nom
neoclásico	62	77.08	neoclásico___neoclásicos___neoclásicas	Adjectif
volumen	286	75.69	volumen___volúmenes	Nom
precio de ejercicio	56	74.98	precio de ejercicio___precios de ejercicio	Nom Préposition Nom
nuestra	71	74.51	nuestra	Nom
productividad marginal	52	72.2	productividad marginal	Nom Adjectif
producción	694	71.2	producción___producciones	Nom
función de utilidad	50	70.06	función de utilidad___funciones de utilidad	Nom Préposition Nom
precio	655	69.18	precio___precios	Nom
depreciación	66	68.77	depreciación	Nom
costo	228	68.75	costo___costos	Nom
planificador	50	68.7	planificador	Nom
inversión extranjero directo	46	67.82	inversión extranjera directa___inversiones extranjeras directas	Nom Adjectif Adjectif
ak	46	67.82	ak	Nom
subyacente	45	67.06	subyacente	Nom
lector	80	66.46	lector___lectores	Nom
rendimiento constante	44	66.3	rendimientos constantes	Nom Nom
demanda	366	65.66	demanda___demandas	Nom
cantidad de dinero	114	64.97	cantidad de dinero	Nom Préposition Nom
capital humano	76	64.95	capital humano	Nom Adjectif
modelo neoclásico	42	64.74	modelo neoclásico___modelos neoclásicos	Nom Adjectif
demanda global	46	64.34	demanda global	Nom Adjectif
bono	63	63.15	bono___bonos	Nom
i+d	40	63.14	i+d	Nom
nuestro	40	63.14	nuestro	Adjectif
desutilidad	40	63.14	desutilidad	Nom
país de ingreso	42	62.5	países de ingreso	Nom Préposition Nom
nuestra	38	61.5	nuestra	Adjectif
stock de capital	38	61.5	stock de capital	Nom Préposition Nom
bien	280	61.12	bien___bienes	Nom
crecimiento endógeno	40	60.85	crecimiento endógeno	Nom Adjectif
stock	62	60.56	stock	Nom
nuestros	41	60.29	nuestros	Nom
cap	38	59.91	cap	Nom
fluctuación	105	59.68	fluctuación___fluctuaciones	Nom
factor	356	59.56	factor___factores	Nom
consumo	362	58.7	consumo	Nom
alza	82	58.21	alza___alzas	Nom
desutilidad marginal	34	58.08	desutilidad marginal	Nom Adjectif
nuestras	34	58.08	nuestras	Nom
neto	142	57.73	neto___netos___netas	Adjectif
condición general	33	57.19	condiciones generales	Nom Nom
punto porcentual	50	57.11	punto porcentual___puntos porcentuales	Nom Adjectif
ahorro	226	56.79	ahorro___ahorros	Nom
cápita	99	56.36	cápita	Nom
ingreso real	40	56.33	ingreso real___ingresos reales	Nom Adjectif
rendimiento probable	32	56.29	rendimiento probable___rendimientos probables	Nom Adjectif
logaritmos	32	56.29	logaritmos	Nom
tasa constante	32	56.29	tasa constante	Nom Adjectif
bono nocional	31	55.38	bono nocional	Nom Adjectif
variable	69	55.32	variable___variables	Nom
ingreso neto	36	55.28	ingreso neto___ingresos netos	Nom Adjectif
bien de capital	36	54.62	bien de capital___bienes de capital	Nom Préposition Nom
liquidación	118	53.39	liquidación	Nom
unidad	273	53.38	unidad___unidades	Nom
monto	60	53.23	monto	Nom
progreso técnico	60	53.01	progreso técnico	Nom Adjectif
individuo	174	52.91	individuo___individuos	Nom
periodo corto	30	52.68	periodo corto___periodos cortos	Nom Adjectif
factor de producción	48	52.66	factor de producción___factores de producción	Nom Préposition Nom
inversión neto	28	52.53	inversión neta	Nom Adjectif
cobb-douglas	28	52.53	cobb-douglas	Nom
modelo ak	28	52.53	modelo ak	Nom Nom
ingreso bajo	34	52.13	ingreso bajo	Nom Adjectif
externalidad	28	51.6	externalidad	Nom
participación del capital	28	50.72	participación del capital___participaciones del capital	Nom Préposition Nom
pib	27	50.61	pib	Nom
ingreso bajo y mediano	26	50.55	ingreso bajo y mediano	Nom Adjectif Coord_Conjunction Adjectif
tasa de depreciación	26	50.55	tasa de depreciación___tasas de depreciación	Nom Préposition Nom
macrodinámica	26	50.55	macrodinámica	Nom
constante de escala	26	50.55	constantes de escala	Nom Préposition Nom
país de ingreso bajo	26	50.55	países de ingreso bajo	Nom Préposition Nom Adjectif
auge	58	50.37	auge	Nom
capítulo	243	50.2	capítulo___capítulos	Nom
constante	81	50	constantes	Nom
día del vencimiento	25	49.53	día del vencimiento	Nom Préposition Nom
horario de negociación	25	49.53	horario de negociación	Nom Préposition Nom
quienes	25	49.53	quienes	Verbe
constante	162	48.76	constante	Adjectif
cantidad	342	48.75	cantidad___cantidades	Nom
día hábil	31	48.61	día hábil	Nom Adjectif
elaboración propio	25	48.55	elaboración propia	Nom Adjectif
velocidad de convergencia	24	48.49	velocidad de convergencia	Nom Préposition Nom
costo de uso	24	48.49	costo de uso	Nom Préposition Nom
modelo	359	48.03	modelo___modelos	Nom
productividad	130	47.75	productividad	Nom
ciclo económico	48	47.51	ciclo económico___ciclos económicos	Nom Adjectif
tasa de rendimiento	24	47.49	tasa de rendimiento___tasas de rendimiento	Nom Préposition Nom
sector formal	24	47.49	sector formal	Nom Adjectif
ofertar	206	47.48	ofertas	Verbe
circular	23	47.42	circular	Nom
teórico	90	47.37	teórico___teórica___teóricas	Adjectif
clásico	120	47.19	clásico___clásicos___clásicas	Adjectif
baja	71	46.62	baja	Nom
elasticidad	36	46.43	elasticidad	Nom
análisis económico	40	46.36	análisis económico	Nom Adjectif
condición de transversalidad	22	46.33	condición de transversalidad___condiciones de transversalidad	Nom Préposition Nom
quienes	22	46.33	quienes	Nom
producto marginal	22	46.33	producto marginal___productos marginales	Nom Adjectif
costo marginal	22	46.33	costo marginal	Nom Adjectif
función de demanda	22	46.33	función de demanda	Nom Préposition Nom
aumento	371	46.28	aumento___aumentos	Nom
día de negociación	26	46.21	día de negociación	Nom Préposition Nom
clase	207	45.76	clase___clases	Nom
capítulo anterior	24	45.66	capítulo anterior___capítulos anteriores	Nom Adjectif
tasa de descuento	21	45.22	tasa de descuento	Nom Préposition Nom
