Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
célula	5828	262.78	célula___células	Nom
genes	3626	210.26	genes	Nom
proteína	2505	166.64	proteína___proteínas	Nom
cromosoma	2097	165.14	cromosoma___cromosomas	Nom
archivo	2041	156.34	archivo___archivos	Nom
gen	1812	153.62	gen	Nom
figura	2307	149.67	figura___figuras	Nom
mutación	1754	147.42	mutación___mutaciones	Nom
dna	1630	145.7	dna	Nom
secuencia	1710	145.47	secuencia___secuencias	Nom
molécula	1495	138.53	molécula___moléculas	Nom
servidor	1368	128.93	servidor___servidores	Nom
red	3860	124.63	red___redes	Nom
cliente	1635	118.61	cliente___clientes	Nom
anticuerpo	1073	117.63	anticuerpo___anticuerpos	Nom
fichero	1068	115.34	fichero___ficheros	Nom
usuario	1752	104.33	usuario___usuarios	Nom
computadora	818	101.49	computadora___computadoras	Nom
virus	1003	100.55	virus	Nom
configuración	1068	99.6	configuración___configuraciones	Nom
bacteria	803	96.6	bacteria___bacterias	Nom
netware	700	95.44	netware	Nom
directorio	755	95.27	directorio___directorios	Nom
soporte	825	94.76	soporte___soportes	Nom
tabla	741	89.98	tabla___tablas	Nom
comando	654	89.83	comando___comandos	Nom
receptor	748	89.81	receptor___receptores	Nom
estación	782	89.02	estación___estaciones	Nom
ratón	648	87.4	ratón___ratones	Nom
enfermedad	2103	86.37	enfermedad___enfermedades	Nom
aminoácido	582	86.25	aminoácido___aminoácidos	Nom
interfaz	600	85.6	interfaz___interfaces	Nom
pantalla	692	84.39	pantalla___pantallas	Nom
paciente	982	83.55	paciente___pacientes	Nom
genoma	611	82.91	genoma	Nom
membrana	529	82.86	membrana___membranas	Nom
tumor	554	82.76	tumor___tumores	Nom
página	1073	82.49	página___páginas	Nom
estación de trabajo	519	81.98	estación de trabajo___estaciones de trabajo	Nom Préposition Nom
menú	554	81.79	menú___menús	Nom
individuo	1020	80.69	individuo___individuos	Nom
router	498	80.47	router	Nom
encaminamiento	472	77.96	encaminamiento___encaminamientos	Nom
cáncer	892	77.96	cáncer___cánceres	Nom
tejido	758	77.81	tejido___tejidos	Nom
capítulo	1333	77.46	capítulo___capítulos	Nom
linfocitos	461	77.42	linfocitos	Nom
trastorno	584	76.56	trastorno___trastornos	Nom
disco	480	74.7	disco___discos	Nom
antígeno	431	74.65	antígeno	Nom
neurona	432	74.54	neurona___neuronas	Nom
replicación	425	74.33	replicación	Nom
cerebro	552	74.24	cerebro___cerebros	Nom
enzimas	422	74.06	enzimas	Nom
transcripción	444	73.9	transcripción___transcripciones	Nom
parámetro	692	71.92	parámetro___parámetros	Nom
ordenador	714	70.98	ordenador___ordenadores	Nom
protocolo	1268	70.97	protocolo___protocolos	Nom
factor	1477	70.94	factor___factores	Nom
cadena	949	70.16	cadena___cadenas	Nom
