id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H15_economy_1,right,[None],['hombres'], la pobreza y la desigualdad incluso entre hombres,obra y los salarios reales. El crecimiento también tiende a reducir la pobreza y la desigualdad incluso entre hombresy mujeres. En los países que en la actualidad tienen un
H15_economy_2,left,['años'],[None], decenas de años incluso cuando los sueldos,"no calificados de los Estados Unidos cuyos salarios vienen disminuyendo desde hace decenas de años incluso cuando los sueldosde los graduados universitarios continúan aumentando. Más importante aún, las"
H15_economy_3,left,['trabajo'],[None], eliminación de puestos de trabajo incluido el despido,"de obra suelen incluir otras destinadas a permitir que el proceso de eliminación de puestos de trabajo incluido el despidomasivo de empleados públicos, siga su curso. En muchos países"
H15_economy_4,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_5,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos,del ejercicio de la opción. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_6,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_7,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos,del ejercicio de la opción. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_8,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos,del ejercicio de la opción. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_9,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos,establecido en la correspondiente circular. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_10,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos,del ejercicio de la opción. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_11,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos,establecido en la correspondiente circular. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_12,both,"['análisis', 'cartera', 'procedimiento de análisis']",['contratos'], el procedimiento de análisis de cartera teniendo en cuenta todos los contratos,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de cartera teniendo en cuenta todos los contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_13,both,"['análisis', 'cartera', 'procedimiento de análisis']",['contratos'], el procedimiento de análisis de cartera teniendo en cuenta todos los contratos,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de cartera teniendo en cuenta todos los contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_14,both,"['análisis', 'cartera', 'procedimiento de análisis']",['contratos'], el procedimiento de análisis de cartera teniendo en cuenta todos los contratos,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por el procedimiento de análisis de cartera teniendo en cuenta todos los contratos(opciones y futuros) de una misma cartera para hallar el
H15_economy_15,right,[None],['demanda'], beneficios teniendo en cuenta que la demanda,cantidad a producir de los bienes que han desarrollado para maximizar sus beneficios teniendo en cuenta que la demandade los bienes por ellos producidos viene dada por (9.
H15_economy_16,both,"['factores', 'producción']",['valor'], los factores de la producción hasta el valor,", si es preciso, elevar los costos compitiendo entre si por los factores de la producción hasta el valorde N en que Z es igual a D. Así,"
H15_economy_17,both,"['sumas', 'globales']",['costo'], las sumas globales pagadas por los compradores incluyendo el costo,"realizan los empresarios entre si, no puede haber una definición de las sumas globales pagadas por los compradores incluyendo el costode uso, el cual es independiente de estos factores. Una"
H15_economy_18,both,"['encima', 'años']",['época'], un salto por encima de años hasta la época,"] Por lo que hace a nuestra temática, podemos dar tranquilamente un salto por encima de años hasta la épocade santo Tomás de Aquino (1225-1274), cuya Summa Theologica"
H15_economy_19,both,['método'],['trabajo'], método a otras mercancías hasta el trabajo,era seguir adelante por una línea inequívocamente trazada- ni aplicar el mismo método a otras mercancías hasta el trabajode H. L. Moore en 1914 (cfr. infra
H15_economy_20,both,['librecambio'],['punto'], el librecambio incluso el punto,"gobierno conservador de sir Robert Peel realizó (en lo esencial) el librecambio incluso el puntomás difícil del programa, a saber: la supresión del gravamen"
H15_economy_21,none,[None],[None], los Estados Unidos y otros países incluidas las islas,"que emprendió. A partir de 1821 vagabundeó por el Canadá, los Estados Unidos y otros países incluidas las islasHawai, realizando en todas partes rudos trabajos (los dos empleos"
H15_economy_22,left,['influencia'],[None], influencia práctica incluso en cuestiones,"por principio de responsabilidad política [7] y redujo así su influencia práctica incluso en cuestionesde legislación social, a mucho menos de lo que habría podido"
H15_economy_23,none,[None],[None], reformismo social hasta grupos,"tipo antiguo, que habían asimilado elementos más o menos importantes de reformismo social hasta gruposde intelectuales herederos directos de los filósofos radicales de la vieja época"
H15_economy_24,both,['crecimiento'],['punto'], crecimiento y también sobre secuencias hasta el punto,", sin duda, muchas consideraciones extra-estáticas, principalmente en materia de crecimiento y también sobre secuencias hasta el puntode que se puede decir que ha planteado la tarea de la"
H15_economy_25,both,"['largo', 'año', 'largo del año']",['punto'], ocasiones a lo largo del año hasta el punto,el bono español marcó diferenciales mínimos respecto al bono alemán en diversas ocasiones a lo largo del año hasta el puntode que a principios de 1997 dicho diferencial llegó a caer por
H15_economy_26,right,[None],['punto'], gracias al turismo hasta el punto,"también por un auge importante de las exportaciones, en particular, gracias al turismo hasta el puntoque el saldo de la rúbrica de la balanza de pagos correspondiente"
H15_economy_27,both,['dólares'],"['alcanzar', 'saldo']", dólares hasta alcanzar un saldo,"experimentaron un aumento espectacular, más de 23. 500 millones de dólares hasta alcanzar un saldoa fin de año de 61. 828 millones, superior en"
