id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H17_economy_1,left,"['producto', 'bruto']",[None], el producto interno bruto PIB,"entre 1985 y 1994, la parte correspondiente al comercio mundial en el producto interno bruto PIBfue tres veces superior a la registrada en la década anterior,"
H17_economy_2,none,[None],[None], Aranceles Aduaneros y Comercio GATT,"número de medidas antidumping notificadas a la Secretaría del Acuerdo General sobre Aranceles Aduaneros y Comercio GATTha variado considerablemente en los últimos diez años, pero desde 1990"
H17_economy_3,none,[None],[None], La erradicación de la oncocercosis ceguera de los ríos,"en las ciudades y sus alrededores, y el saneamiento ambiental. La erradicación de la oncocercosis ceguera de los ríosen extensas regiones de África occidental alivió enormemente los sufrimientos de la"
H17_economy_4,left,['ingeniero'],[None], el sueldo de un ingeniero en Francfort Alemania,"en cuenta las diferencias de poder adquisitivo de las distintas monedas, el sueldo de un ingeniero en Francfort Alemaniaes 56 veces superior al salario de una trabajadora no calificada de"
H17_economy_5,left,['industria'],[None], la industria textil en Nairobi Kenya,"es 56 veces superior al salario de una trabajadora no calificada de la industria textil en Nairobi Kenya, cuyo ingreso es, a su vez, varias veces superior"
H17_economy_6,left,['capital'],[None], el capital fundacional fondo de dotación,"su presupuesto la cantidad de 50. 000 pesetas, que constituyó el capital fundacional fondo de dotaciónpara el establecimiento de la Caja, la finalidad de la Caja"
H17_economy_7,left,"['inversión', 'fondos de inversión']",[None], fondos de inversión Caixa Catalunya Gestió,"Valencia, y Banca Privada de Andorra), una gestora de fondos de inversión Caixa Catalunya Gestió, una gestora de fondos de pensiones (Gescat), un"
H17_economy_8,none,[None],[None], fondos de pensiones Gescat,"fondos de inversión (Caixa Catalunya Gestió), una gestora de fondos de pensiones Gescat, un holding de seguros formado por tres compañías (Multinacional Aseguradora"
H17_economy_9,none,[None],[None], seguros formado por tres compañías Multinacional Aseguradora Vida y Previsió,"gestora de fondos de pensiones (Gescat), un holding de seguros formado por tres compañías Multinacional Aseguradora Vida y Previsió, una sociedad de cartera (Invercartera), una compañía de"
H17_economy_10,left,['cartera'],[None], una sociedad de cartera Invercartera,"por tres compañías (Multinacional Aseguradora, Ascat-Vida y Ascat-Previsió), una sociedad de cartera Invercartera, una compañía de leasing (Liscat), una compañía de"
H17_economy_11,left,['leasing'],[None], una compañía de leasing Liscat,"y Ascat-Previsió), una sociedad de cartera (Invercartera), una compañía de leasing Liscat, una compañía de factoring (Factorcat), una agencia de"
H17_economy_12,left,['factoring'],[None], una compañía de factoring Factorcat,"(Invercartera), una compañía de leasing (Liscat), una compañía de factoring Factorcat, una agencia de valores (Valorcat), una sociedad de"
H17_economy_13,left,['valores'],[None], valores Valorcat,", una compañía de factoring (Factorcat), una agencia de valores Valorcat, una sociedad de servicios generales (Servicat), una compañía"
H17_economy_14,left,['generales'],[None], una sociedad de servicios generales Servicat,"(Factorcat), una agencia de valores (Valorcat), una sociedad de servicios generales Servicat, una compañía de seguridad (Segurcat), dos sociedades de"
H17_economy_15,none,[None],[None], una compañía de seguridad Segurcat,"Valorcat), una sociedad de servicios generales (Servicat), una compañía de seguridad Segurcat, dos sociedades de promoción inmobiliaria (Procat y Procam) y"
H17_economy_16,none,[None],[None], sociedades de promoción inmobiliaria Procat y Procam,"Servicat), una compañía de seguridad (Segurcat), dos sociedades de promoción inmobiliaria Procat y Procamy una sociedad de distribución comercial (Barnasud). Finalmente,"
H17_economy_17,left,['distribución'],[None], una sociedad de distribución comercial Barnasud,", dos sociedades de promoción inmobiliaria (Procat y Procam) y una sociedad de distribución comercial Barnasud. Finalmente, dentro de la contribución que anualmente realiza al desarrollo"
H17_economy_18,left,"['intereses', 'ahorro']",[None], intereses como las libretas de ahorro tarifa estándar,"a partir de 250. 000 ptas.), se reciben intereses como las libretas de ahorro tarifa estándar. - Disponibilidad inmediata. - Facilidad para efectuar pagos a terceros"
H17_economy_19,none,[None],[None], medida el PLA DE FUTUR Plan de Futuro,"INDIVIDUALES DE JUBILACIÓN Para afrontar la jubilación con unas pensiones hechas a medida el PLA DE FUTUR Plan de Futuropermite que cada uno pueda elegir la cantidad, la periodicidad y"
H17_economy_20,none,[None],[None], CONDICIONES GENERALES Marzo,CONTRATO DE FUTUROS SOBRE BONO NOCIONAL A TRES AÑOS. CONDICIONES GENERALES MarzoINTRODUCCIÓN Estas Condiciones Generales recogen las características del Contrato de Futuros sobre
H17_economy_21,right,[None],"['opciones', 'futuros']", cuenta todos los Contratos opciones y futuros,"realizará por el procedimiento de análisis de la cartera, teniendo en cuenta todos los Contratos opciones y futurosde una misma cartera para hallar el valor positivo o negativo de"
H17_economy_22,none,[None],[None], AÑOS CONDICIONES GENERALES Abril,completo. CONTRATO DE OPCIÓN SOBRE EL FUTURO BONO NOCIONAL A 3 AÑOS CONDICIONES GENERALES AbrilINTRODUCCIÓN Estas Condiciones Generales recogen las características del Contrato de Opción sobre
H17_economy_23,right,[None],"['opciones', 'futuros']", cuenta todos los Contratos opciones y futuros,"realizará por el procedimiento de análisis de la cartera, teniendo en cuenta todos los Contratos opciones y futurosde una misma cartera para hallar el valor positivo o negativo de"
H17_economy_24,none,[None],[None], AÑOS CONDICIONES GENERALES Marzo,de cincuenta puntos. CONTRATO DE FUTUROS SOBRE BONO NOCIONAL A DIEZ AÑOS CONDICIONES GENERALES MarzoINTRODUCCIÓN Estas Condiciones Generales recogen las características del Contrato de Futuros sobre
H17_economy_25,right,[None],"['opciones', 'futuros']", cuenta todos los Contratos opciones y futuros,"realizará por el procedimiento de análisis de la cartera, teniendo en cuenta todos los Contratos opciones y futurosde una misma cartera para hallar el valor positivo o negativo de"
