Reference	LeftContext	Pivot	RightContext
1_e00001-plain	por otros países exportadores de esos productos ---como Chile, Malasia,	Marruecos_NP_Marruecos y_CC_y Turquía---_NP_Turquía--- demuestra_VLfin_demostrar que_CQUE_que tal_QU_tal condición_NC_condición	no es un impedimento para alcanzar un índice de productividad adecuado ni
1_e00001-plain	e inversión extranjera directa. También pertenecen a este grupo los países	que_CQUE_que han_VHfin_haber introducido_VLadj_introducir reformas_NC_reforma,_CM_, tales_QU_tal como_CSUBX_como Argentina_NP_Argentina	, Chile y México en América Latina; Marruecos en el Oriente
1_e00001-plain	más libre y de la inversión extranjera directa en el crecimiento.	En_PREP_en otras_QU_otro palabras_NC_palabra,_CM_, factores_NC_factor tales_QU_tal como_CSUBX_como la_ART_el transferencia_NC_transferencia	de tecnología y de conocimientos, la asignación más acertada de los
1_e00001-plain	diez próximos años. Algunos países prosperarán; otros, incluidos algunos	de_PREP_de los_ART_el más_ADV_más pobres_ADJ_pobre,_CM_, tal_QU_tal vez_NC_vez	sólo conozcan tasas de crecimiento moderadas. El crecimiento de los países
1_e00004-plain	una distinción bien fundada, y es razonable que la comunidad internacional	se_SE_se preocupe_VLfin_preocupar de_PREP_de hacer_VLinf_hacer respetar_VLinf_respetar tales_QU_tal normas_NC_norma	. Sin embargo, conviene que los acuerdos de comercio multilaterales se
1_e00004-plain	de los " años transcurridos desde la terminación de los estudios "	como_CSUBX_como medida_NC_medida de_PREP_de la_ART_el experiencia_NC_experiencia tal_QU_tal vez_NC_vez	no sirva para describir adecuadamente las características de la experiencia de las
1_e00004-plain	sindicato puede aumentar la productividad y la eficiencia en el trabajo.	Los_ART_el trabajadores_ADJ_trabajador protegidos_NC_protegido por_PREP_por sindicatos_NC_sindicato tal_QU_tal vez_NC_vez	se sientan más seguros de que los empleadores no se apropiarán de
1_e00032-plain	de Ejercicio más cercano. Para las demás series, los Precios	de_PREP_de Ejercicio_NC_ejercicio se_SE_se fijan_VLfin_fijar de_PREP_de tal_QU_tal forma_NC_forma	que, en relación con el primer Precio de Ejercicio, al
1_e00032-plain	de Ejercicio más cercano. Para las demás series, los Precios	de_PREP_de Ejercicio_NC_ejercicio se_SE_se fijan_VLfin_fijar de_PREP_de tal_QU_tal forma_NC_forma	que, en relación con el primer Precio de Ejercicio, al
1_e00032-plain	de Ejercicio más cercano. Para las demás series, los Precios	de_PREP_de Ejercicio_NC_ejercicio se_SE_se fijan_VLfin_fijar de_PREP_de tal_QU_tal forma_NC_forma	que, en relación con el primer Precio de Ejercicio, al
