Reference	LeftContext	Pivot	RightContext
1_e00001-plain	En la figura se indica la mediana de los costos,	representada_VLadj_representar por_PREP_por una_ART_un línea_NC_línea	horizontal, y la gama de los costos en torno a la
1_e00001-plain	la gama de los costos en torno a la mediana,	representada_VLadj_representar por_PREP_por una_ART_un línea_NC_línea	vertical cuyos extremos marcan el primer y tercer cuartiles del volumen de
1_e00004-plain	franceses que han perdido su empleo, o los trabajadores no	calificados_VLadj_calificar de_PREP_de los_ART_el Estados_NC_estado	Unidos cuyos salarios vienen disminuyendo desde hace decenas de años, incluso
1_e00004-plain	) es 56 veces superior al salario de una trabajadora no	calificada_VLadj_calificar de_PREP_de la_ART_el industria_NC_industria	textil en Nairobi (Kenya), cuyo ingreso es, a
1_e00004-plain	ingenieros, por ejemplo, ganan más que los trabajadores no	calificados_VLadj_calificar de_PREP_de la_ART_el industria_NC_industria	textil en todos los países. Pero también se debe en parte
1_e00032-plain	del Banco de España ". En caso de que el	referido_VLadj_referir tipo_NC_tipo	de interés no se pudiera hacer público por los cauces indicados,
1_e00032-plain	del Banco de España ". En caso de que el	referido_VLadj_referir tipo_NC_tipo	de interés no se pudiera hacer público por los cauces indicados,
1_e00051-plain	de esta economía (cerrada) es algo a lo que	llamaremos_VLfin_llamar xxx_NP_xxx	. En principio podríamos pensar en xxx como si de capital físico
1_e00051-plain	puede transformarse en capital a través de un proceso al que	llamaremos_VLfin_llamar inversión_NC_inversión	. Si denominamos xxx a la parte de la renta que es
1_e00051-plain	explicarse mediante la existencia de externalidades en la producción, los	llamados_VLadj_llamar efectos_NC_efecto	desbordamiento: la decisión de cada productor individual afecta positivamente a la
1_e00051-plain	2. 1. La función xxx, a la que	llamaremos_VLfin_llamar curva_NC_curva	de depreciación es independiente de xxx, por lo que está representada
1_e00051-plain	de depreciación es independiente de xxx, por lo que está	representada_VLadj_representar por_PREP_por una_ART_un línea_NC_línea	recta horizontal. Por su parte, el supuesto, xxx implica
1_e00051-plain	, xxx implica que la función xxx, a la que	llamaremos_VLfin_llamar curva_NC_curva	de ahorro, es decreciente, que tiende a infinito cuando xxx
1_e00051-plain	xxx para el cual ambas curvas se cruzan, al que	designaremos_VLfin_designar por_PREP_por xxx_NP_xxx	es el capital por trabajador que existe en el estado estacionario.
1_e00051-plain	gráfico 2. 2, en el cual dos economías (	designadas_VLadj_designar por_PREP_por xxx_NP_xxx	, el país pobre y xxx, el país rico) poseen
1_e00051-plain	relación con el trabajo necesario para la producción (esto se	llama_VLfin_llamar progreso_NC_progreso	técnico ahorrador de capital). Otras innovaciones ahorran trabajo en relación
1_e00051-plain	la ingeniería genética, etc. Un aspecto fundamental de los	llamados_VLadj_llamar modelos_NC_modelo	de " escaleras de calidad " (" quality ladders ")
1_e00051-plain	" (" quality ladders ") es lo que Schumpeter	llamó_VLfin_llamar la_ART_el destrucción_NC_destrucción	creativa: cuando una empresa supera la calidad de un cierto producto
1_e00053-plain	la ocupación existente; 2 Que no existe eso que se	llama_VLfin_llamar desocupación_NC_desocupación	involuntaria en sentido riguroso; 3 Que la oferta crea su propia
1_e00053-plain	su equipo en vez de dejarlo inactivo, a lo que	llamaremos_VLfin_llamar costo_NC_costo	de uso del nivel de ocupación dado. [1] El
1_e00053-plain	algunas veces, desde el punto de vista del empresario,	llamar_VLinf_llamar producto_NC_producto	de la ocupación al ingreso global (es decir, costo de
1_e00053-plain	Se desprende, por tanto, que, dado lo que	llamaremos_VLfin_llamar la_ART_el propensión_NC_propensión	a consumir de la comunidad, el nivel de equilibrio de la
1_e00053-plain	de ésta dependerá, a su vez, de lo que	llamaremos_VLfin_llamar el_ART_el incentivo_NC_incentivo	para invertir, que, como después se verá, depende de
1_e00053-plain	dedicará a nuevas inversiones. O es lo que antes hemos	llamado_VLadj_llamar demanda_NC_demanda	efectiva. 4 Desde el momento que D1 + D2 = D
1_e00053-plain	resolución. [5] En el cap. 20 se	designará_VLfin_designar con_PREP_con el_ART_el nombre_NC_nombre	de función del empleo a una que está íntimamente ligada con la
1_e00053-plain	unidad en que se mide el volumen de ocupación, y	llamaremos_VLfin_llamar unidad_NC_unidad	de salario al salario nominal de una unidad de trabajo. [
1_e00053-plain	productor) en el equipo productor existente, ponderándose los trabajadores	calificados_VLadj_calificar de_PREP_de acuerdo_NC_acuerdo	con su retribución. No se requiere una comparación cuantitativa entre esta
1_e00053-plain	modo semejante para determinada industria o para toda ella) está	representada_VLadj_representar por_PREP_por xxx_NP_xxx	en la que Z, es el rendimiento cuya expectativa motivará un
1_e00053-plain	únicamente por N. Por consiguiente, definiremos lo que hemos	llamado_VLadj_llamar la_ART_el propensión_NC_propensión	a consumir como la relación funcional X entre Y, un nivel
1_e00053-plain	, no obstante, considerarlas separadamente bajo dos títulos diferentes que	llamaremos_VLfin_llamar los_ART_el factores_NC_factor	subjetivos y los factores objetivos. Los primeros, que examinaremos con
1_e00053-plain	LOS PRECIOS Mientras los economistas se ocupan de lo que se	llama_VLfin_llamar teoría_NC_teoría	del valor han acostumbrado enseñar que los precios están regidos por las
1_e00053-plain	de los factores que entran en el costo primo marginal y	llamarlo_VCLIinf_llamar la_ART_el unidad_NC_unidad	de costos. La unidad de costos, o bien, sujeta
1_e00053-plain	de manera formal. Vale la pena, sin embargo,	llamar_VLinf_llamar la_ART_el atención_NC_atención	sobre que, de los cuatro términos xxx y e0, de
1_e00053-plain	de tiempo y de la duración que justifica el que lo	llamemos_VLfin_llamar ciclo_NC_ciclo	, se debe sobre todo a cómo fluctúa la eficiencia marginal del
