Reference	LeftContext	Pivot	RightContext
1_m00064-plain	ovaladas y constan de una doble membrana. La membrana interna está	arrugada_VLadj_arrugar,_CM_, y_CC_y las_ART_el arrugas_NC_arruga forman_VLfin_formar una_ART_un serie_NC_serie de_PREP_de repisas_NC_repisa	(crestas) que llenan el interior de la cuenta. Las
1_m00064-plain	proteínas de la membrana. Los microtúbulos son más gruesos y largos	que_CQUE_que los_ART_el neurofilamentos_NC_neurofilamento,_CM_, y_CC_y consisten_VLfin_consistir en_PREP_en fascículos_NC_fascículo de_PREP_de filamentos_NC_filamento	dispuestos alrededor de una oquedad central. Transportan sustancias desde un lugar
1_m00064-plain	suficientes células nuevas como para realizar la tarea. Una vez eliminado	el_ART_el tejido_NC_tejido lesionado_VLadj_lesionar,_CM_, se_SE_se formará_VLfin_formar un_ART_un entramado_NC_entramado de_PREP_de astrocitos_NC_astrocito	que rellenará el espacio vacío, y un tipo especializado de astrocitos
1_m00064-plain	mielina que rodea a muchos axones en el sistema nervioso central.	Cada_QU_cada célula_NC_célula forma_VLfin_formar un_ART_un segmento_NC_segmento de_PREP_de mielina_NC_mielina	en varios axones adyacentes Los oligodendrocitos se hallan sólo en el SNC
1_m00064-plain	moribundos (véase la figura 2. 8). Seguidamente,	estas_DM_este mismas_ADJ_mismo células_NC_célula se_SE_se disponen_VLfin_disponer formando_VLger_formar una_ART_un serie_NC_serie de_PREP_de cilindros_NC_cilindro	que actúan como guías para que los axones vuelvan crecer. Las
1_m00064-plain	una célula de Schwann entera, se enrolla repetida y estrechamente alrededor	de_PREP_de un_ART_un axón_NC_axón individual_ADJ_individual,_CM_, formando_VLger_formar un_ART_un segmento_NC_segmento de_PREP_de vaina_NC_vaina	de mielina Por otro lado, si una sección del nervio está
1_m00064-plain	, no produce sensación de color -parece luz blanca-. Los colores	con_PREP_con cantidades_NC_cantidad intermedias_ADJ_intermedio de_PREP_de saturación_NC_saturación consisten_VLfin_consistir en_PREP_en mezclas_NC_mezcla de_PREP_de longitudes_NC_longitud	de onda diferentes. En la lámina 6. 2 se observan
1_m00064-plain	pigmentados situado detrás de la córnea. El cristalino, que está	inmediatamente_ADV_inmediatamente|inmediato detrás_ADV_detrás del_PDEL_del iris_NC_iris,_CM_, consiste_VLfin_consistir en_PREP_en una_ART_un serie_NC_serie de_PREP_de capas_NC_capa	como las de una cebolla? transparentes. Su forma puede alterase
1_m00064-plain	axón y las fibras musculares extrafusales asociadas constituyen una unidad motora.	Una_ART_un fibra_NC_fibra muscular_ADJ_muscular individual_ADJ_individual consiste_VLfin_consistir en_PREP_en un_ART_un haz_NC_haz de_PREP_de miofibrillas_NC_miofibrilla	, cada una de las cuales está constituida a su vez por
1_m00064-plain	de estro de las ratas dura cuatro días). Los ciclos	menstruales_ADJ_menstrual y_CC_y los_ART_el de_PREP_de estro_NC_estro consisten_VLfin_consistir en_PREP_en una_ART_un secuencia_NC_secuencia de_PREP_de acontecimientos_NC_acontecimiento	controlados por las secreciones hormonales de la adenohipófisis y los ovarios.
1_m00064-plain	muy cerca de un lavabo y de una fuente de agua.	El_ART_el tratamiento_NC_tratamiento,_CM_, por_PREP_por supuesto_NC_supuesto,_CM_, consiste_VLfin_consistir en_PREP_en la_ART_el administración_NC_administración de_PREP_de vasopresina_NC_vasopresina	(mediante un vaporizador nasal), que es absorbida en el
1_m00064-plain	donde los elementos se presentan simultáneamente. El habla es secuencial;	consiste_VLfin_consistir en_PREP_en secuencias_NC_secuencia de_PREP_de palabras_NC_palabra	, las cuales están compuestas, a su vez, por secuencias
1_m00092-plain	las diferentes funciones biológicas a las estructuras relevantes. En principio,	el_ART_el dominio_NC_dominio de_PREP_de la_ART_el región_NC_región V_ALFS_V forma_VLfin_formar la_ART_el unidad_NC_unidad de_PREP_de reconocimiento_NC_reconocimiento	(véase fig. 2-1) y los dominios de la región
1_m00092-plain	pero es incapaz de formar enlaces cruzados con moléculas de anticuerpo.	Figura_NC_figura 5-3_CARD_@card@ Líneas_NC_línea múltiples_QU_múltiple formadas_VLadj_formar en_PREP_en la_ART_el determinación_NC_determinación de_PREP_de Ouchterlony_NP_Ouchterlony	(precipitación por doble difusión) cuando el antisuero de conejo (
1_m00092-plain	, es decir, reacciona con el complejo xxx. Se introducen	entonces_ADV_entonces los_ART_el clones_NC_clon xxx_NP_xxx que_CQUE_que forman_VLfin_formar el_ART_el receptor_NC_receptor de_PREP_de linfocito_NC_linfocito	T de este clon como transgenes en ratones con inmunodeficiencia combinada severa
1_m00210-plain	la base timina, T, en lugar de uracilo).	Cuando_CSUBX_cuando se_SE_se forma_VLfin_formar un_ART_un segmento_NC_segmento de_PREP_de nucleótidos_NC_nucleótido	de ARN o ADN, los azúcares y fosfatos constituyen la columna
1_m00220-plain	, eliminan los productos de otros genes denominados genes V, que	rigen_VLfin_regir la_ART_el síntesis_NC_síntesis de_PREP_de proteínas_NC_proteína constituidas_VLadj_constituir en_PREP_en sitios_NC_sitio de_PREP_de anclaje_NC_anclaje	para los superantígenos bacterianos. Podemos empezar a verle un sentido a
1_m00224-plain	de una competición memética y una coevolución de memes y genes.	El_ART_el proceso_NC_proceso de_PREP_de la_ART_el guía_NC_guía memética_NC_memética constituye_VLfin_constituir un_ART_un ejemplo_NC_ejemplo de_PREP_de replicadores_NC_replicador	(memes) que evolucionan de forma concurrente con su máquina copiadora
1_m00224-plain	de la vida en la Tierra, cuando las primeras moléculas replicativas	se_SE_se desarrollaron_VLfin_desarrollar y_CC_y evolucionaron_VLfin_evolucionar hasta_PREP_hasta constituir_VLinf_constituir la_ART_el molécula_NC_molécula de_PREP_de ADN_NP_ADN	y todos sus mecanismos de reproducción celular asociados. Igual que en
1_m00224-plain	con valor cultural. Atarse los zapatos o lanzar una pelota no	constituyen_VLfin_constituir gestos_NC_gesto de_PREP_de interés_NC_interés	para la evolución cultural del hombre. Pero si adopta la definición
1_m00230-plain	la naturaleza) y la adopción (un experimento social).	La_ART_el investigación_NC_investigación con_PREP_con gemelos_NC_gemelo constituye_VLfin_constituir el_ART_el caballo_NC_caballo de_PREP_de tiro_NC_tiro	de la genética del comportamiento. Se compara el parecido entre gemelos
1_m00239-plain	proteínas y volumen. A comienzos de los años noventa Geoffrey Goldspink	propaso_VLfin_propasar que_CQUE_que el_ART_el gen_NC_gen IIx_NP_IIx constituía_VLfin_constituir una_ART_un especie_NC_especie de_PREP_de normalización_NC_normalización	por defecto. Esta hipótesis se ha ratificado en estudios que han
1_m00239-plain	patrón de un tablero de ajedrez, mientras que en el músculo	senil_ADJ_senil las_ART_el fibras_NC_fibra se_SE_se agregan_VLfin_agregar formando_VLger_formar grupos_NC_grupo de_PREP_de células_NC_célula	lentas o rápidas (este fenómeno se manifiesta también en gente joven
1_m00248-plain	funcional en una colonia bacteriana puede detectarse mediante un ensayo colorimétrico.	Las_ART_el células_NC_célula bacterianas_ADJ_bacteriano que_CQUE_que contienen_VLfin_contener pUC18_VLfin_pUC18 forman_VLfin_formar colonias_NC_colonia de_PREP_de color_NC_color	azul cuando crecen en un medio que contiene una substancia denominada X-gal
1_m00248-plain	La colas de cadena sencilla resultantes pueden unirse con colas complementarias de	otros_QU_otro fragmentos_NC_fragmento de_PREP_de DNA_NC_dna para_CSUBI_para formar_VLinf_formar moléculas_NC_molécula de_PREP_de DNA_NC_dna	recombinante. Figura 15. 2 Para formar moléculas de DNA recombinante
1_m00248-plain	de DNA para formar moléculas de DNA recombinante. Figura 15.	2_CARD_2 Para_CSUBI_para formar_VLinf_formar moléculas_NC_molécula de_PREP_de DNA_NC_dna	recombinante, se corta DNA de distintas fuentes con EcoRI y se
1_m00253-plain	. En este contexto, la gota reviste un interés especial.	Aparece_VLfin_aparecer cuando_CSUBX_cuando se_SE_se forman_VLfin_formar cristales_NC_cristal de_PREP_de ácido_NC_ácido	úrico, un potente antioxidante, que precipitan en las articulaciones.
1_m00270-plain	El ciclo celular y el cáncer Como se describió en el Capítulo	2_CARD_2,_CM_, el_ART_el ciclo_NC_ciclo celular_ADJ_celular representa_VLfin_representar la_ART_el secuencia_NC_secuencia de_PREP_de fenómenos_NC_fenómeno	que ocurren entre divisiones mitóticas en las células eucariotas. En años
1_m00278-plain	convierten en células plasmáticas, que producen grandes cantidades de anticuerpos.	Las_ART_el células_NC_célula de_PREP_de memoria_NC_memoria representan_VLfin_representar una_ART_un subpoblación_NC_subpoblación de_PREP_de células_NC_célula	B que participan en posteriores encuentros con el antígeno específico. La
1_m00278-plain	cadenas ligeras, unidas por puentes disulfuro. Las regiones variables de	las_ART_el cadenas_NC_cadena pesadas_VLadj_pesar y_CC_y ligeras_ADJ_ligero forman_VLfin_formar el_ART_el sitio_NC_sitio de_PREP_de combinación_NC_combinación	del anticuerpo. El sitio de combinación de cada anticuerpo tiene una
1_m00278-plain	. Cada cadena contiene una región constante y una regían variable.	La_ART_el región_NC_región variable_ADJ_variable forma_VLfin_formar el_ART_el sitio_NC_sitio de_PREP_de unión_NC_unión	del anticuerpo. que interacciona con un antígeno especifico de manera parecida
1_m00281-plain	engañosa. Casi una caricatura, pues las fusiones entre ramas no	representarían_VLfin_representar la_ART_el unión_NC_unión de_PREP_de genomas_NC_genoma	completos, sino la transferencia de genes o grupos de genes.
1_m00296-plain	ser sumamente simple; Turing lo logró con brillantez. Una de	las_ART_el versiones_NC_versión de_PREP_de su_PPO_suyo máquina_NC_máquina consistía_VLfin_consistir en_PREP_en un_ART_un par_NC_par de_PREP_de cintas_NC_cinta	y un mecanismo de «control finito», que iba haciendo
1_m00300-plain	lo olvida ni adquiere otro nuevo. Aunque la inclinación sexual no	constituya_VLfin_constituir una_ART_un cuestión_NC_cuestión de_PREP_de mimetismo_NC_mimetismo	, a la manera de nuestra ave es obvio que la conducta
1_m00301-plain	actuaban uniéndose directamente a ciertos TAF. En conjunto, los coactivadores	del_PDEL_del factor_NC_factor D_ALFS_D vienen_VLfin_venir a_PREP_a constituir_VLinf_constituir una_ART_un suerte_NC_suerte de_PREP_de unidad_NC_unidad	central de procesamiento que integra señales reguladoras emitidas por activadores que están
1_m00302-plain	las células T cooperadores tienen moléculas CD4 en sus superficies celulares y	,_CM_, por_PREP_por lo_ART_el tanto_ADV_tanto,_CM_, constituyen_VLfin_constituir la_ART_el subpoblación_NC_subpoblación de_PREP_de linfocitos_NC_linfocito	T CD4). Cada linfocito T citotóxico puede destruir una célula
1_m00305-plain	midiendo los niveles de creatincinasa en recién nacidos. El objetivo no	consiste_VLfin_consistir en_PREP_en la_ART_el instauración_NC_instauración de_PREP_de tratamiento_NC_tratamiento	presintomático, sino en la identificación de las familias que deben recibir
1_m00305-plain	enfermedad. La población diana es un grupo conocido de riesgo.	La_ART_el «_SYM_«intervención_NC_intervención»_SYM_» consiste_VLfin_consistir en_PREP_en la_ART_el presentación_NC_presentación de_PREP_de cifras_NC_cifra	de riesgo y en la opción de diagnóstico prenatal. Las enfermedades
1_m00305-plain	las que uno o ambos miembros sean portadores de esta mutación (	xxx_NP_xxx,_CM_, donde_ADV_donde xxx_CODE_xxx representa_VLfin_representar la_ART_el frecuencia_NC_frecuencia de_PREP_de parejas_NC_pareja	portadoras en las que ningún miembro de la pareja es portador de
1_m00306-plain	, originando quiasmas en donde eran evidentes puntos de solapamiento. Morgan	propuso_VLfin_proponer que_CQUE_que estos_DM_este quiasmas_NC_quiasma podrían_VMfin_poder representar_VLinf_representar puntos_NC_punto de_PREP_de intercambio_NC_intercambio	. En los cruces que se presentan en la Figura 5.
1_m00306-plain	y), white (w) y miniatura (m)	de_CSUBI_de Drasophila_VLinf_Drasophila melanogaster_NC_melanogaster Cada_QU_cada número_NC_número representa_VLfin_representar el_ART_el porcentaje_NC_porcentaje de_PREP_de descendientes_NC_descendiente	recombinantes producidos en los tres cruces, implicando cada uno a dos
1_m00306-plain	. Debido a que cada colonia surge probablemente de una sola bacteria	,_CM_, el_ART_el factor_NC_factor de_PREP_de dilución_NC_dilución representa_VLfin_representar el_ART_el número_NC_número de_PREP_de bacterias_NC_bacteria	en el mililitro original. En nuestro caso la placa más a
1_m00306-plain	propuso que debería existir una molécula adaptadora que pudiese unirse covalentemente al	aminoácido_NC_aminoácido y_CC_y que_CQUE_que pudiese_VMfin_poder también_ADV_también formar_VLinf_formar puentes_NC_puente de_PREP_de hidrógeno_NC_hidrógeno	con la secuencia nucleotídica. Puesto que, durante la traducción,
1_m00306-plain	estas mutaciones están relacionadas a procesos químicos normales que alteran la estructura	de_PREP_de las_ART_el bases_NC_base nitrogenadas_VLadj_nitrogenar que_CQUE_que forman_VLfin_formar parte_NC_parte de_PREP_de genes_NC_gen|genes	ya existentes. Se cree que la mayoría de las mutaciones espontáneas
1_m00306-plain	y peso molecular. Vinograd propuso además que la fracción más densa	de_PREP_de las_ART_el dos_CARD_dos moléculas_NC_molécula circulares_ADJ_circular consistía_VLfin_consistir en_PREP_en hélices_NC_hélice de_PREP_de DNA_NC_dna	cerradas covalentemente cuya doble hélice estaba ligeramente menos enrollada comparada con las
1_m00306-plain	de varios factores proteicos para iniciar la transcripción. Los promotores reconocidos	por_PREP_por la_ART_el RNA_NC_RNA polimerasa_NC_polimerasa II_CARD_II consisten_VLfin_consistir en_PREP_en secuencias_NC_secuencia de_PREP_de DNA_NC_dna	cortas y modulares, localizadas, generalmente, dentro de un intervalo
1_m00306-plain	de los efectos de las mutaciones puntuales en la transcripción del gen	de_PREP_de la_ART_el B-globina_NC_B-globina Cada_QU_cada línea_NC_línea representa_VLfin_representar el_ART_el nivel_NC_nivel de_PREP_de transcripción_NC_transcripción	(respecto al silvestre) producido por la mutación de un solo
1_m00310-plain	la ribosa y en que contiene uracilo en vez de timina.	Figura_NC_figura 2-5_CARD_@card@ Se_SE_se forman_VLfin_formar burbujas_NC_burbuja de_PREP_de replicación_NC_replicación	en múltiples puntos del filamento del DNA, lo que hace posible
1_m00310-plain	tejidos, incluyendo, huesos, bazo, riñones y pulmones (	un_ART_un infarto_NC_infarto consiste_VLfin_consistir en_PREP_en la_ART_el destrucción_NC_destrucción de_PREP_de tejidos_NC_tejido	. La destrucción prematura de los eritrocitos falciformes reduce el número de
1_m00310-plain	denominan ligados. La distancia entre loci puede expresarse en centiMorgan;	I_CARD_I cM_NC_centímetro representa_VLfin_representar una_ART_un frecuencia_NC_frecuencia de_PREP_de recombinación_NC_recombinación	aproximadamente del I %. Las frecuencias de recombinación pueden calcularse observando
1_m00310-plain	en comparación con la hipótesis de que no están ligados. Utilizaremos	los_ART_el datos_NC_dato del_PDEL_del árbol_NC_árbol genealógico_ADJ_genealógico para_CSUBI_para formar_VLinf_formar una_ART_un relación_NC_relación de_PREP_de probabilidad_NC_probabilidad	: probabilidad de observar datos del árbol genealógico si teta = 0
1_m00324-plain	conocen como «extremos pegajosos» debido a que las secuencias complementarias	pueden_VMfin_poder pegarse_VCLIinf_pegarse fácilmente_ADV_fácil de_PREP_de nuevo_ADJ_nuevo formando_VLger_formar enlaces_NC_enlace de_PREP_de hidrógeno_NC_hidrógeno	. En noviembre de 1972, Janet Mertz y Ronald W.
1_m00324-plain	enzima, mezclamos los plásmidos recortados y el ADN cortado en presencia	de_PREP_de ADN_NP_ADN ligase_VLfin_ligar,_CM_, se_SE_se formarán_VLfin_formar quimeras_NC_quimera de_PREP_de plásmidos_NC_plásmidos	más ADN extraño. Estos plásmidos quiméricos, colocados en bacterias receptivas
1_m00324-plain	genes para causar la enfermedad genética talasemia, en la cual uno	de_PREP_de los_ART_el cuatro_CARD_cuatro polipéptidos_NC_polipéptido que_CQUE_que forman_VLfin_formar la_ART_el molécula_NC_molécula de_PREP_de hemoglobina_NC_hemoglobina	no se produce. La pregunta no podía responderse a menos de
1_m00324-plain	y de qué significa esto para la condición humana. ENFERMEDADES GENÉTICAS	La_NP_La historia_NC_historia de_PREP_de la_ART_el humanidad_NC_humanidad consiste_VLfin_consistir en_PREP_en una_ART_un serie_NC_serie de_PREP_de luchas_NC_lucha	para obtener el control sobre nuestro entorno, particularmente en la medida
1_m00327-plain	con avidez. Por debajo de las células tumorales a las que	se_SE_se habían_VHfin_haber unido_VLadj_unir,_CM_, se_SE_se formó_VLfin_formar una_ART_un zona_NC_zona de_PREP_de lisis_NC_lisis	donde se fragmentaron las proteínas de la membrana basal. Finalmente,
1_m00327-plain	la célula tumoral que reconocen ciertos componentes de la membrana basal.	El_ART_el segundo_ORD_segundo paso_NC_paso consistía_VLfin_consistir en_PREP_en la_ART_el activación_NC_activación de_PREP_de enzimas_NC_enzima	destructivas que escindían o desenredaban moléculas de la membrana basal situadas por
1_m00332-plain	más deprisa. Genes enormes Cualquiera que sea el alcance de sus	efectos_NC_efecto,_CM_, los_ART_el genes_NC_gen|genes saltarines_ADJ_saltarín representan_VLfin_representar un_ART_un tipo_NC_tipo de_PREP_de mutación_NC_mutación	no prevista por los fundadores de la genética. En los últimos
1_m00334-plain	activados para que se produzca transformación, la conclusión es importante:	la_ART_el transformación_NC_transformación maligna_ADJ_maligno constituye_VLfin_constituir un_ART_un proceso_NC_proceso de_PREP_de eventos_NC_evento	múltiples que no se logra con un solo paso. Tabla 2
1_m00336-plain	esas cisteínas e histidinas invariantes (fijas) servían para que cada	subunidad_NC_subunidad se_SE_se plegase_VLfin_plegar independientemente_ADV_independiente|independientemente,_CM_, formando_VLger_formar un_ART_un minidominio_NC_minidominio de_PREP_de unión_NC_unión	a ADN. Más tarde se le llamó dedo de cinc por
1_m00336-plain	motivo? Al cruzar la hélice de reconocimiento del primer motivo,	la_ART_el hélice_NC_hélice del_PDEL_del segundo_NMEA_segundo se_SE_se constituía_VLfin_constituir en_PREP_en punto_NC_punto de_PREP_de apoyo_NC_apoyo	para mantener en su lugar a la hélice de reconocimiento. La
1_m00341-plain	», «una biblioteca del genoma humano». Ligamiento:	el_ART_el acto_NC_acto de_CSUBI_de formar_VLinf_formar enlaces_NC_enlace de_PREP_de fosfodiéster_NC_fosfodiéster	para unir dos moléculas de DNA de doble cadena con la enzima
1_m00341-plain	EcoRI pueden unirse por interacción de sus extremos complementarios de cuatro bases	,_CM_, tras_PREP_tras lo_ART_el cual_REL_cual se_SE_se forman_VLfin_formar los_ART_el enlaces_NC_enlace de_PREP_de fosfodiéster_NC_fosfodiéster	en cada fibra mediante una enzima denominada DNA-ligasa. Este paso de
1_m00341-plain	pacientes con cromosomas X adicionales, cualquier cromosoma X en número superior	a_PREP_a uno_CARD_uno se_VLfin_saber inactiva_ADJ_inactivo y_CC_y forma_VLfin_formar un_ART_un corpúsculo_NC_corpúsculo de_PREP_de Barr_NC_Barr	(v., cuadro anterior). Así, todas las
1_m00341-plain	su localización extraembrionaria temprana hasta las crestas gonadales, en donde las	rodean_VLfin_rodear los_ART_el cordones_NC_cordón sexuales_ADJ_sexual para_CSUBI_para formar_VLinf_formar un_ART_un par_NC_par de_PREP_de gónadas_NC_gónada	primitivas. Hasta este momento, la gónada en desarrollo, cromosómicamente
1_m00341-plain	un embrión sin gónadas), los conductos mesonéfricos se atrofien y	el_ART_el conducto_NC_conducto paramesonéfrico_ADJ_paramesonéfrico se_SE_se desarrolla_VLfin_desarrollar hasta_PREP_hasta constituir_VLinf_constituir el_ART_el sistema_NC_sistema de_PREP_de conductos_NC_conducto	femeninos. En un embrión en etapa temprana, los genitales externos
1_m00344-plain	de las cuatro bases nitrogenadas posibles estaba enlazada con cada desoxirribosa.	Un_ART_un nucleótido_NC_nucleótido consistía_VLfin_consistir en_PREP_en una_ART_un combinación_NC_combinación de_PREP_de desoxirribosa_NC_desoxirribosa	, fosfato y base nitrogenada. Watson y Crick podían ver que
