Reference	LeftContext	Pivot	RightContext
1_m00064-plain	la afasia de Broca parece alterar la capacidad de los pacientes para	utilizar_VLinf_utilizar información_NC_información gramatical_ADJ_gramatical,_CM_, como_CSUBX_como el_ART_el orden_NC_orden	de las palabras, para decodificar el significado de la frase.
1_m00092-plain	la aglutinación de células que presenten pocos determinantes a menos que se	utilicen_VLfin_utilizar métodos_NC_método especiales_ADJ_especial tales_QU_tal como_CSUBX_como tratamiento_NC_tratamiento	ulterior con un reactivo antiglobulina. De forma similar, la mayor
1_m00092-plain	6, 243, con autorización). Se ha pensado en	utilizar_VLinf_utilizar BCG_NP_BCG como_CSUBX_como vehículo_NC_vehículo	de los antígenos requeridos para evocar la inmunidad de linfocitos T mediada
1_m00092-plain	con baja afinidad y sólo se observa un buen enlace cuando se	utiliza_VLfin_utilizar xxx_NP_xxx multivalente_ADJ_multivalente como_CSUBX_como antígeno_NC_antígeno	). Sin embargo, debe considerarse una característica particular y exclusiva
1_m00210-plain	La explicación más lógica para ese comportamiento parecía ser que el organismo	utilizaba_VLfin_utilizar las_ART_el moléculas_NC_molécula antisentido_ADJ_antisentido como_CSUBX_como forma_NC_forma	(desconocida hasta entonces) de regular la expresión génica. Si
1_m00248-plain	de DNA clonados. Figura 15. 7 Pasos en la clonación	utilizando_VLger_utilizar el_ART_el fago_NC_fago lambda_NC_lambda como_CSUBX_como vector_NC_vector	Se extrae el DNA de una preparación de fago lambda y se
1_m00305-plain	de CK superiores al percentil 95 en mujeres normales. Si se	utiliza_VLfin_utilizar el_ART_el percentil_NC_percentil 95_CODE_@card@ como_CSUBX_como punto_NC_punto	de corte para identificar a las portadoras, entonces la sensibilidad de
1_m00306-plain	una cepa de bacterias que contenían una mutación que no les permitía	utilizar_VLinf_utilizar la_ART_el lactosa_NC_lactosa como_CSUBX_como fuente_NC_fuente	de carbono (lac-) (Véase la exposición del operón lac
1_m00306-plain	(lacZ-) o permeasa (lacY) activas son incapaces de	utilizar_VLinf_utilizar la_ART_el lactosa_NC_lactosa como_CSUBX_como fuente_NC_fuente	de energía. También se encontraron mutaciones en el gen de la
1_m00351-plain	En tales casos parece no haber ninguna razón para que no se	utilice_VLfin_utilizar la_ART_el ingeniería_NC_ingeniería genética_ADJ_genético como_CSUBX_como una_ART_un alternativa_NC_alternativa	más rápida que la mejora clásica y para salvar cualquier barrera que
1_m00351-plain	durante el aislamiento; este aumento de la estabilidad permite que se	utilicen_VLfin_utilizar métodos_NC_método relativamente_ADV_relativo violentos_ADJ_violento para_PREP_para procesos_NC_proceso tales_QU_tal como_CSUBX_como la_ART_el desproteinización_NC_desproteinización	de las preparaciones de plásmidos, haciendo que sea más fácil obtener
1_m00351-plain	estable en la célula hospedadora, por lo que puede ser necesario	utilizar_VLinf_utilizar un_ART_un gen_NC_gen híbrido_ADJ_híbrido como_CSUBX_como una_ART_un forma_NC_forma	de «marcar» la proteína con un polipéptido protector; otra
1_m00457-plain	conocen como metilotrofos. Por otra parte, los que pueden crecer	utilizando_VLger_utilizar monóxido_NC_monóxido de_PREP_de carbono_NC_carbono como_CSUBX_como sustrato_NC_sustrato	se les denominan carboxidotrofos y los que utilizan cianuro cianotrofos. Las
1_m00457-plain	también de tres proteínas. Cabe destacar que el enzima purificado no	utiliza_VLfin_utilizar xxx_NP_xxx como_CSUBX_como dador_NC_dador	de electrones; en su lugar una de las tres proteínas componentes
1_m00457-plain	los rendimientos de crecimiento más bajos que caracterizan a las levaduras que	utilizan_VLfin_utilizar metanol_NC_metanol como_CSUBX_como sustrato_NC_sustrato	. El formaldehído, la sustancia resultante de la reacción catalizada por
1_m00457-plain	que se hablan utilizado todas las impurezas. Después era cuando se	utilizaba_VLfin_utilizar el_ART_el hidrocarburo_NC_hidrocarburo como_CSUBX_como sustrato_NC_sustrato	pero en ese momento, en cultivos controlados, la presencia de
1_m00457-plain	hidrocarburos alifáticos contengan isocitrato liasa y malato sintetasa. En consecuencia,	utilizan_VLfin_utilizar el_ART_el ciclo_NC_ciclo del_PDEL_del glioxilato_NC_glioxilato como_CSUBX_como ruta_NC_ruta	anaplerótica. Un aspecto fascinante del crecimiento microbiano a partir de hidrocarburos
1_m00731-plain	un método de amplificación de secuencias de DNA in vitro, que	utiliza_VLfin_utilizar oligonucleótidos_NC_oligonucleótidos de_PREP_de secuencia_NC_secuencia definida_VLadj_definir como_CSUBX_como cebadores_NC_cebador	(iniciadores) de la reacción Los oligonucleótidos cebadores A y B
1_m00731-plain	grupos de oligos degenerados correspondientes a regiones diferentes de la proteína.	Utilizando_VLger_utilizar un_ART_un cDNA_NC_cdna adecuado_ADJ_adecuado como_CSUBX_como molde_NC_molde	pudo amplificarse un cDNA específico que abarcaba los codones comprendidos entre las
