id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H9_economy_1,right,[None],"['axón', 'largo']", una persona el axón más largo,"su diámetro y al tamaño del soma. Por ejemplo, en una persona el axón más largose extiende desde el dedo gordo del pie a una región localizada"
H9_economy_2,both,"['ondas', 'rápidas']","['longitudes', 'onda', 'cortas', 'longitudes de onda']", las ondas más rápidas longitudes de onda más cortas,"Las oscilaciones más lentas implican ondas de longitud más larga, y las ondas más rápidas longitudes de onda más cortas. Las longitudes de onda determinan la primera de las tres dimensiones"
H9_economy_3,both,['retina'],"['media', 'nuestra', 'aguda']", la retina media nuestra visión más aguda,"significa «aguja»). La fóvea, región central de la retina media nuestra visión más aguday sólo tiene conos. Los conos son también los responsables de"
H9_economy_4,left,['aguda'],[None], una visión poco aguda son más sensibles,onda-. Aunque los bastones no detectan los diferentes colores y proporcionan una visión poco aguda son más sensiblesa la luz. En un ambiente débilmente iluminado usamos la visión
H9_economy_5,both,"['pierna', 'respuesta', 'dolor']",['complejos'], la pierna en respuesta al dolor pero también más complejos,". Se pueden encontrar ejemplos relativamente sencillos, como la retirada de la pierna en respuesta al dolor pero también más complejos, como la eyaculación del semen. Los reflejos espinales no ocurren"
H9_economy_6,left,['labios'],[None], los labios vulvares el clítoris y la parte más externa,"visibles e incluyen el pene y el escroto en varones, y los labios vulvares el clítoris y la parte más externade la vagina en mujeres. Como acabamos de ver, los"
H9_economy_7,both,['reproducción'],"['tipo', 'menos', 'probables']", la reproducción las actuaciones de este tipo son menos probables,"existe aproximadamente el mismo número de machos que de hembras activos para la reproducción las actuaciones de este tipo son menos probables. El fenómeno que acabamos de describir, que también se observa"
H9_economy_8,both,"['término', 'osmótico', 'término osmótico']",['complejo'], El término osmótico algo más complejo,"volémico hace referencia a las medidas de volumen del plasma sanguíneo. El término osmótico algo más complejo, se tratará en el siguiente apartado. El término sed significa"
H9_economy_9,both,"['aprendizaje', 'aprendizaje relacional']","['forma', 'compleja']", El aprendizaje relacional la forma más compleja,"sensoriales; por tanto, constituye de hecho un aprendizaje estímulo-respuesta. El aprendizaje relacional la forma más complejade aprendizaje, será descrito en el capítulo 15, e incluye"
H9_economy_10,both,"['capacidad', 'articular']","['región', 'plausible']", la capacidad para articular palabras esta región es la candidata más plausible,del lóbulo frontal izquierdo (incluida el área de Broca) altera la capacidad para articular palabras esta región es la candidata más plausiblepara la localización de estos «programas». El hecho de
H9_economy_11,both,['figura'],['abundantes'], la figura éstos son más abundantes,"de menor afinidad serán también estimulados, y como se advierte en la figura éstos son más abundantesque los que poseen receptores de elevada afinidad. Además, es"
H9_economy_12,both,['ratón'],"['célula', 'probable']", el ratón la célula más probable,intentos para aislar poblaciones altamente purificadas de células madre hematopoyéticas. En el ratón la célula más probablees la que presenta el siguiente fenotipo de superficie: alta expresión
H9_economy_13,left,"['virus', 'vacuna']",[None], el virus de la vacuna es posible que sea más fácil,". Aunque se basen en los mismos principios que los utilizados para el virus de la vacuna es posible que sea más fácilaceptar virus híbridos de la poliomielitis como vacunas potenciales, y genes"
H9_economy_14,both,['investigaciones'],"['organismos', 'menos', 'complejos']", Las investigaciones rigurosas con organismos menos complejos,", podrían encontrarse con que las premisas de antaño eran incorrectas. Las investigaciones rigurosas con organismos menos complejos, sugieren que, en la mayoría de los comportamientos, intervienen"
H9_economy_15,both,['macho'],"['ser', 'bailarín', 'activo']", El macho por ser el bailarín más activo,"visuales, acústicas y quimiosensoriales entre el macho y la hembra. El macho por ser el bailarín más activoen este complicado ballet, ha acaparado el interés de los estudiosos"
H9_economy_16,both,['traducción'],['menos'], la traducción la lógica del nombre es menos evidente,". En la estrategia «antisentido», cuyo objetivo es impedir la traducción la lógica del nombre es menos evidente. Pero se puede comprender fácilmente si se conoce un poco sobre"
H9_economy_17,left,['tríplices'],[None], los tríplices sea más reciente,"la atención prestada a la otra nueva estrategia genética, basada en los tríplices sea más reciente, los indicios sobre sus posibilidades se remontan a los años cincuenta"
H9_economy_18,both,"['signos', 'tempranos', 'aterosclerosis']",['tratamientos'], los signos tempranos de la aterosclerosis cuando los tratamientos son más eficaces,"de una proteína presente en las placas pondría de manifiesto uno de los signos tempranos de la aterosclerosis cuando los tratamientos son más eficaces. Además, los farmacólogos pueden utilizar las proteínas purificadas para fabricar"
H9_economy_19,left,['gen'],[None], un gen ya conocido la cosa se vuelve más interesante,"con anterioridad. Cuando no podemos asignar una nueva secuencia parcial a un gen ya conocido la cosa se vuelve más interesante. En esos casos, nuestros ordenadores realizan una búsqueda en todas"
H9_economy_20,both,['cáncer'],['sutil'], el cáncer que guardan una relación más sutil,"tiempo se conocía su carácter hereditario y también contra otras, como el cáncer que guardan una relación más sutilcon los genes. Pero esa andadura hacia el nirvana genético será"
H9_economy_21,both,"['padres', 'renal']","['enfermedad', 'hereditaria', 'enfermedad hereditaria']", Los padres que padecen policistitis renal quizá la enfermedad hereditaria grave más común,"el diagnóstico genético impida que se les extienda un seguro medico. Los padres que padecen policistitis renal quizá la enfermedad hereditaria grave más común, también suelen decidir no someter a sus hijos a las pruebas"
H9_economy_22,left,['familia'],[None], los miembros de una familia en su sentido más amplio,"mayor. Como los resultados de las pruebas pueden afectar a todos los miembros de una familia en su sentido más amplio, las relaciones entre aquellos pueden verse seriamente alteradas debido a los"
H9_economy_23,left,"['terapia', 'génica', 'terapia génica']",[None], la gente es la terapia génica si bien resulta más descriptivo,". La perspectiva de tratamiento que más ha atraído la atención de la gente es la terapia génica si bien resulta más descriptivohablar de transplante de genes. No obstante, los intentos para"
H9_economy_24,both,"['genética', 'comportamiento']",['conocimiento'], los lazos entre genética y comportamiento un conocimiento mucho más preciso,la relación entre efectos genéticos y ambientales. Preveo un estrechamiento de los lazos entre genética y comportamiento un conocimiento mucho más precisode las funciones cerebrales y una adopción gradual de los modelos evolutivos
