Reference	LeftContext	Pivot	RightContext
1_e00001-plain	de los productos manufacturados en el total de las exportaciones.	El_ART_el índice_NC_índice de_PREP_de integración_NC_integración es_VSfin_ser el_ART_el promedio_NC_promedio	simple de las variaciones de los cuatro indicadores en el período señalado
1_e00001-plain	varían en forma considerable en las distintas regiones en desarrollo.	Los_ART_el aranceles_NC_arancel son_VSfin_ser un_ART_un factor_NC_factor	importante porque cuando los niveles de protección son elevados el crecimiento puede
1_e00001-plain	lenta. Un factor que explica la relación entre integración y	crecimiento_NC_crecimiento es_VSfin_ser el_ART_el efecto_NC_efecto	favorable de un sistema de comercio más libre y de la inversión
1_e00001-plain	del ambiente institucional y las políticas que adopten los gobiernos.	La_ART_el reforma_NC_reforma de_PREP_de las_ART_el políticas_NC_política es_VSfin_ser un_ART_un factor_NC_factor	fundamental La importancia que reviste la reforma de las políticas queda de
1_e00001-plain	el sector de exportaciones de la economía. Se estima que	la_ART_el inestabilidad_NC_inestabilidad macroeconómica_ADJ_macroeconómico fue_VSfin_ser la_ART_el causa_NC_causa	de la disminución de hasta 0, 9 puntos porcentuales al año
1_e00001-plain	necesario. El segundo aspecto en materia de políticas que afecta	el_ART_el ritmo_NC_ritmo de_PREP_de integración_NC_integración es_VSfin_ser la_ART_el disponibilidad_NC_disponibilidad	y el mantenimiento adecuado de la infraestructura económica necesaria, en particular
1_e00001-plain	tipo de medidas podrían adoptarse para corregir estas distorsiones? Algunas	opciones_NC_opción son_VSfin_ser la_ART_el agrupación_NC_agrupación	de cargas a granel para alcanzar economías de escala, la racionalización
1_e00001-plain	e histórica que ayudará a determinar su éxito. Dado que	el_ART_el regionalismo_NC_regionalismo es_VSfin_ser un_ART_un fenómeno_NC_fenómeno	bastante reciente y adopta múltiples formas, no admite conclusiones simples.
1_e00001-plain	desarrollo. Probablemente los principales beneficiarios de la eliminación gradual del	Acuerdo_NC_acuerdo Multifibras_NP_Multifibras serán_VSfin_ser los_ART_el países_NC_país	productores más eficientes cuyas exportaciones a los mercados de los países industriales
1_e00004-plain	alrededor del 20 % de la población activa del mundo.	Françoise_NP_Françoise es_VSfin_ser una_ART_un inmigrante_NC_inmigrante	de origen vietnamita que vive en Francia y se gana la vida
1_e00004-plain	Françoise es pobre. Desde un punto de vista jurídico,	Françoise_NP_Françoise es_VSfin_ser una_ART_un trabajadora_NC_trabajador	ocasional que no tiene empleo seguro, pero su situación económica en
1_e00004-plain	alrededor del 9 % de la población activa del mundo.	Jean-Paul_NP_Jean-Paul es_VSfin_ser un_ART_un francés_NC_francés	de 50 años de edad cuyas perspectivas de empleo no son nada
1_e00004-plain	inversiones en la capacitación y el mejoramiento de la salud y	la_ART_el nutrición_NC_nutrición de_PREP_de los_ART_el trabajadores_NC_trabajador son_VSfin_ser la_ART_el clave_NC_clave	no sólo del bienestar de la población activa sino también del buen
1_e00004-plain	Estos cambios pueden afectar profundamente al mercado de trabajo. Su	característica_NC_característica principal_ADJ_principal es_VSfin_ser la_ART_el aceleración_NC_aceleración	del proceso de eliminación de empleos que ya no son viables y
