id,subid,topic,relational_semantic_type,presence,candidate_term_left,candidate_term_right,Pivot,occurrence,full_context,annotation,tags,global_freq
H34,H34_1,economy,hyp_d'exemplification,left,"['ritmo', 'integración', 'ritmo de integración']",[None],el_ART_el ritmo_NC_ritmo de_PREP_de integración_NC_integración:_COLON_: las_ART_el políticas_NC_política, el ritmo de integración las políticas,"Hay tres tipos de políticas que influyen con relativa rapidez en el ritmo de integración las políticasmacroeconómicas, las relativas a las telecomunicaciones y la infraestructura de transporte",« NON »,ART NC PREP NC ART NC,1
H34,H34_2,economy,hyp_d'exemplification,none,[None],[None],Obstáculos_NC_obstáculo externos_ADJ_externo:_COLON_: medidas_NC_medida, Obstáculos externos medidas,"comenzaron a dar impulso a ese aspecto de sus economías. Obstáculos externos medidasantidumping y el Acuerdo Multifibras Con todo, existen ciertos obstáculos externos",« NON »,NC ADJ NC,4
H34,H34_3,economy,hyp_d'exemplification,both,['resto'],['relación'],resto_NC_resto del_PDEL_del mundo_NC_mundo:_COLON_: La_ART_el relación_NC_relación, resto del mundo La relación,"de los países de la región volvió a sobrepasar el del resto del mundo La relacióncomercio - PIB continuó aumentando. Por primera vez, los aranceles",« NON »,NC PDEL NC ART NC,2
H34,H34_4,economy,hyp_d'exemplification,both,['producto'],['aranceles'],el_ART_el producto_NC_producto:_COLON_: Los_ART_el aranceles_NC_arancel, el producto Los aranceles,"del comercio se corresponde con la mejora reciente que ha experimentado el producto Los arancelesmáximos se sitúan en el 45 %, incluso después de haber",« NON »,ART NC ART NC,4
H34,H34_5,economy,hyp_d'exemplification,both,['años'],['aranceles'],años_NC_año:_COLON_: Los_ART_el aranceles_NC_arancel, años Los aranceles,"extraordinario de los índices de comercio registrado en los últimos diez años Los arancelesse redujeron al 15 %, frente al 30 % a fines",« NON »,NC ART NC,28
H34,H34_6,economy,hyp_d'exemplification,both,['aumento'],['volumen'],aumento_NC_aumento:_COLON_: El_ART_el volumen_NC_volumen, aumento El volumen,es cercano al promedio de todo el mundo y va en aumento El volumende comercio como proporción del PIB sobrepasó levemente el de los países,« NON »,NC ART NC,28
H34,H34_7,economy,hyp_d'exemplification,both,['años'],['índices'],años_NC_año:_COLON_: Los_ART_el índices_NC_índice, años Los índices,"período de estancamiento de su integración, que dura ya diez años Los índicesde comercio se han mantenido sin variaciones. Los aranceles apenas han",« NON »,NC ART NC,28
H34,H34_8,economy,hyp_d'exemplification,both,['ingreso'],['obras'],garantía_NC_garantía del_PDEL_del ingreso_NC_ingreso:_COLON_: las_ART_el obras_NC_obra, garantía del ingreso las obras,programas de transferencias públicas pueden complementar las medidas no oficiales de garantía del ingreso las obraspúblicas constituyen por lo general el mejor método de transferencia para los,« NON »,NC PDEL NC ART NC,2
H34,H34_9,economy,hyp_d'exemplification,none,[None],[None],estrategias_NC_estrategia de_PREP_de desarrollo_NC_desarrollo:_COLON_: el_ART_el abandono_NC_abandono, estrategias de desarrollo el abandono,uno o dos cambios fundamentales que han debido introducir en sus estrategias de desarrollo el abandonodel proteccionismo en pro de una mayor integración en los mercados internacionales,« NON »,NC PREP NC ART NC,10
H34,H34_10,economy,hyp_d'exemplification,right,[None],['ingenieros'],país_NC_país:_COLON_: los_ART_el ingenieros_NC_ingeniero, país los ingenieros,"a las diferencias de remuneración correspondientes a distintos empleos en cada país los ingenieros, por ejemplo, ganan más que los trabajadores no calificados de",« NON »,NC ART NC,28
H34,H34_11,economy,hyp_d'exemplification,left,['fórmula'],[None],fórmula_NC_fórmula:_COLON_: Precio_NC_precio, fórmula Precio,deban recibir la Deuda se calculará de acuerdo con la siguiente fórmula Preciode liquidación del Bono Nocional al cierre de la última sesión x,« NON »,NC NC,32
