id,subid,topic,relational_semantic_type,presence,candidate_term_left,candidate_term_right,Pivot,occurrence,full_context,annotation,tags,global_freq
H01,H01_1,economy,hyp_attributif,both,"['índice', 'integración', 'índice de integración']",['promedio'],El_ART_el índice_NC_índice de_PREP_de integración_NC_integración es_VSfin_ser el_ART_el promedio_NC_promedio, El índice de integración es el promedio,de los productos manufacturados en el total de las exportaciones. El índice de integración es el promediosimple de las variaciones de los cuatro indicadores en el período señalado,« OUI »,ART NC PREP NC VSfin ART NC,10
H01,H01_2,economy,hyp_attributif,both,['aranceles'],['factor'],Los_ART_el aranceles_NC_arancel son_VSfin_ser un_ART_un factor_NC_factor, Los aranceles son un factor,varían en forma considerable en las distintas regiones en desarrollo. Los aranceles son un factorimportante porque cuando los niveles de protección son elevados el crecimiento puede,« OUI »,ART NC VSfin ART NC,16
H01,H01_3,economy,hyp_attributif,both,['crecimiento'],['efecto'],crecimiento_NC_crecimiento es_VSfin_ser el_ART_el efecto_NC_efecto, crecimiento es el efecto,lenta. Un factor que explica la relación entre integración y crecimiento es el efectofavorable de un sistema de comercio más libre y de la inversión,« NON »,NC VSfin ART NC,27
H01,H01_4,economy,hyp_attributif,right,[None],['factor'],La_ART_el reforma_NC_reforma de_PREP_de las_ART_el políticas_NC_política es_VSfin_ser un_ART_un factor_NC_factor, La reforma de las políticas es un factor,del ambiente institucional y las políticas que adopten los gobiernos. La reforma de las políticas es un factorfundamental La importancia que reviste la reforma de las políticas queda de,« NON »,ART NC PREP ART NC VSfin ART NC,6
H01,H01_5,economy,hyp_attributif,left,"['inestabilidad', 'inestabilidad macroeconómica']",[None],la_ART_el inestabilidad_NC_inestabilidad macroeconómica_ADJ_macroeconómico fue_VSfin_ser la_ART_el causa_NC_causa, la inestabilidad macroeconómica fue la causa,"el sector de exportaciones de la economía. Se estima que la inestabilidad macroeconómica fue la causade la disminución de hasta 0, 9 puntos porcentuales al año",« NON »,ART NC ADJ VSfin ART NC,14
H01,H01_6,economy,hyp_attributif,left,"['ritmo', 'integración', 'ritmo de integración']",[None],el_ART_el ritmo_NC_ritmo de_PREP_de integración_NC_integración es_VSfin_ser la_ART_el disponibilidad_NC_disponibilidad, el ritmo de integración es la disponibilidad,"necesario. El segundo aspecto en materia de políticas que afecta el ritmo de integración es la disponibilidady el mantenimiento adecuado de la infraestructura económica necesaria, en particular",« NON »,ART NC PREP NC VSfin ART NC,10
H01,H01_7,economy,hyp_attributif,left,['opciones'],[None],opciones_NC_opción son_VSfin_ser la_ART_el agrupación_NC_agrupación, opciones son la agrupación,"tipo de medidas podrían adoptarse para corregir estas distorsiones? Algunas opciones son la agrupaciónde cargas a granel para alcanzar economías de escala, la racionalización",« NON »,NC VSfin ART NC,27
H01,H01_8,economy,hyp_attributif,right,[None],['fenómeno'],el_ART_el regionalismo_NC_regionalismo es_VSfin_ser un_ART_un fenómeno_NC_fenómeno, el regionalismo es un fenómeno,"e histórica que ayudará a determinar su éxito. Dado que el regionalismo es un fenómenobastante reciente y adopta múltiples formas, no admite conclusiones simples.",« OUI »,ART NC VSfin ART NC,16
H01,H01_9,economy,hyp_attributif,none,[None],[None],Acuerdo_NC_acuerdo Multifibras_NP_Multifibras serán_VSfin_ser los_ART_el países_NC_país, Acuerdo Multifibras serán los países,desarrollo. Probablemente los principales beneficiarios de la eliminación gradual del Acuerdo Multifibras serán los paísesproductores más eficientes cuyas exportaciones a los mercados de los países industriales,« NON »,NC NP VSfin ART NC,2
H01,H01_10,economy,hyp_attributif,none,[None],[None],Françoise_NP_Françoise es_VSfin_ser una_ART_un inmigrante_NC_inmigrante, Françoise es una inmigrante,alrededor del 20 % de la población activa del mundo. Françoise es una inmigrantede origen vietnamita que vive en Francia y se gana la vida,« NON »,NP VSfin ART NC,24
