id,subid,topic,relational_semantic_type,presence,candidate_term_left,candidate_term_right,Pivot,occurrence,full_context
H01,H01_1,economy,hyp_attributif,none,[None],[None],la_ART_el falta_NC_falta de_PREP_de infraestructura_NC_infraestructura apropiada_ADJ_apropiado puede_VMfin_poder ser_VSinf_ser un_ART_un impedimento_NC_impedimento, la falta de infraestructura apropiada puede ser un impedimento,", el elevado costo del transporte de las export... la falta de infraestructura apropiada puede se...grave para la integración. Países de integració..."
H01,H01_2,economy,hyp_attributif,both,"['índice', 'integración', 'índice de integración']",['promedio'],El_ART_el índice_NC_índice de_PREP_de integración_NC_integración es_VSfin_ser el_ART_el promedio_NC_promedio, El índice de integración es el promedio,de los productos manufacturados en el total de ... El índice de integración es el promediosimple de las variaciones de los cuatro indicad...
H01,H01_3,economy,hyp_attributif,both,['aranceles'],['factor'],Los_ART_el aranceles_NC_arancel son_VSfin_ser un_ART_un factor_NC_factor, Los aranceles son un factor,varían en forma considerable en las distintas r... Los aranceles son un factorimportante porque cuando los niveles de protecc...
H01,H01_4,economy,hyp_attributif,both,"['relación', 'integración', 'crecimiento']",['efecto'],la_ART_el relación_NC_relación entre_PREP_entre integración_NC_integración y_CC_y crecimiento_NC_crecimiento es_VSfin_ser el_ART_el efecto_NC_efecto, la relación entre integración y crecimiento es el efecto,países de integración escasa y lenta. Un factor... la relación entre integración y crecimiento es...favorable de un sistema de comercio más libre y...
H01,H01_5,economy,hyp_attributif,right,[None],['factor'],La_ART_el reforma_NC_reforma de_PREP_de las_ART_el políticas_NC_política es_VSfin_ser un_ART_un factor_NC_factor, La reforma de las políticas es un factor,del ambiente institucional y las políticas que ... La reforma de las políticas es un factorfundamental La importancia que reviste la refor...
H01,H01_6,economy,hyp_attributif,left,"['inestabilidad', 'inestabilidad macroeconómica']",[None],la_ART_el inestabilidad_NC_inestabilidad macroeconómica_ADJ_macroeconómico fue_VSfin_ser la_ART_el causa_NC_causa, la inestabilidad macroeconómica fue la causa,"el sector de exportaciones de la economía. Se e... la inestabilidad macroeconómica fue la causade la disminución de hasta 0, 9 puntos porcentu..."
H01,H01_7,economy,hyp_attributif,left,"['ritmo', 'integración', 'ritmo de integración']",[None],el_ART_el ritmo_NC_ritmo de_PREP_de integración_NC_integración es_VSfin_ser la_ART_el disponibilidad_NC_disponibilidad, el ritmo de integración es la disponibilidad,necesario. El segundo aspecto en materia de pol... el ritmo de integración es la disponibilidady el mantenimiento adecuado de la infraestructu...
H01,H01_8,economy,hyp_attributif,right,[None],['fenómeno'],el_ART_el regionalismo_NC_regionalismo es_VSfin_ser un_ART_un fenómeno_NC_fenómeno, el regionalismo es un fenómeno,"e histórica que ayudará a determinar su éxito. ... el regionalismo es un fenómenobastante reciente y adopta múltiples formas, no..."
H01,H01_9,economy,hyp_attributif,left,['gradual'],[None],la_ART_el eliminación_NC_eliminación gradual_ADJ_gradual del_PDEL_del Acuerdo_NC_acuerdo Multifibras_NP_Multifibras serán_VSfin_ser los_ART_el países_NC_país, la eliminación gradual del Acuerdo Multifibras serán los países,provenientes de países en desarrollo. Probablem... la eliminación gradual del Acuerdo Multifibras...productores más eficientes cuyas exportaciones ...
H01,H01_10,economy,hyp_attributif,left,"['dinamismo', 'inversión']",[None],el_ART_el dinamismo_NC_dinamismo de_PREP_de la_ART_el inversión_NC_inversión continuaron_VLfin_continuar siendo_VSger_ser los_ART_el pilares_NC_pilar, el dinamismo de la inversión continuaron siendo los pilares,regionales Asia oriental Los extraordinarios re... el dinamismo de la inversión continuaron siend...del acelerado crecimiento del producto en Asia ...
