Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
vencimiento	227	176.41	vencimiento___vencimientos	Nom
meff	106	138.47	meff	Nom
fija	105	137.81	fija	Nom
salario nominal	92	126.84	salario nominal___salarios nominales	Nom Adjectif
meff renta	86	124.59	meff renta	Nom Adjectif
tasa de interés	89	122.65	tasa de interés___tasas de interés	Nom Préposition Nom
salario	349	117.1	salario___salarios	Nom
peseta	115	114.97	peseta___pesetas	Nom
ocupación	262	111.26	ocupación___ocupaciones	Nom
precio de liquidación	68	110.61	precio de liquidación___precios de liquidación	Nom Préposition Nom
marginal	162	105.82	marginal___marginales	Adjectif
tasa	410	105.26	tasa___tasas	Nom
salario real	71	104.47	salario real___salarios reales	Nom Adjectif
demanda efectivo	64	102.51	demanda efectiva	Nom Adjectif
tasa de crecimiento	128	101.56	tasa de crecimiento___tasas de crecimiento	Nom Préposition Nom
teoría	187	101.21	teoría___teorías	Nom
ocupación pleno	57	101.13	ocupación plena	Nom Adjectif
estacionario	57	100.24	estacionario	Nom
precio de ejercicio	56	100.22	precio de ejercicio___precios de ejercicio	Nom Préposition Nom
estado estacionario	56	100.22	estado estacionario	Nom Nom
capital	450	94.98	capital___capitales	Nom
propensión	77	94.89	propensión	Nom
eficiencia marginal	50	94.6	eficiencia marginal	Nom Adjectif
unidad de salario	46	90.65	unidad de salario___unidad de salarios___unidades de salario___unidades de salarios	Nom Préposition Nom
función de producción	48	89.85	función de producción___funciones de producción	Nom Préposition Nom
subyacente	45	89.64	subyacente	Nom
capital físico	45	86.76	capital físico	Nom Adjectif
ecuación	72	86.07	ecuación___ecuaciones	Nom
desocupación	45	84.99	desocupación	Nom
bono	62	83.68	bono___bonos	Nom
per	39	83.3	per	Verbe
economista	94	81.74	economista___economistas	Nom
condición general	33	76.45	condiciones generales	Nom Nom
volumen de ocupación	32	75.24	volumen de ocupación	Nom Préposition Nom
bono nocional	31	74.02	bono nocional	Nom Adjectif
nuestro	34	73.39	nuestro	Nom
teoría clásico	31	72.84	teoría clásica	Nom Adjectif
liquidación	117	71.74	liquidación	Nom
precio	489	71.72	precio___precios	Nom
curva	53	71.33	curva___curvas	Nom
neoclásico	31	70.64	neoclásico___neoclásicos___neoclásicas	Adjectif
punto porcentual	43	68.91	punto porcentual___puntos porcentuales	Nom Adjectif
rendimiento	148	68.73	rendimiento___rendimientos	Nom
consumir	85	68.27	consumir	Verbe
productividad marginal	26	67.57	productividad marginal	Nom Adjectif
día del vencimiento	25	66.21	día del vencimiento	Nom Préposition Nom
