Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
célula	3516	381.82	célula___células	Nom
genes	2217	309.69	genes	Nom
cromosoma	1346	252.96	cromosoma___cromosomas	Nom
proteína	1502	238.03	proteína___proteínas	Nom
gen	1163	235.39	gen	Nom
genético	1756	229.33	genético___genéticos___genéticas	Adjectif
dna	958	213.62	dna	Nom
mutación	1000	209.88	mutación___mutaciones	Nom
molécula	886	203.17	molécula___moléculas	Nom
secuencia	922	200.87	secuencia___secuencias	Nom
celular	840	195.46	celular___celulares	Adjectif
adn	704	183.09	adn	Adverbe
anticuerpo	585	165.55	anticuerpo___anticuerpos	Nom
figura	861	149.85	figura___figuras	Nom
bacteria	457	135.14	bacteria___bacterias	Nom
virus	558	134.45	virus	Nom
tumor	380	130.04	tumor___tumores	Nom
aminoácido	315	120.58	aminoácido___aminoácidos	Nom
cáncer	634	119.96	cáncer___cánceres	Nom
genoma	372	119.85	genoma	Nom
membrana	293	117.79	membrana___membranas	Nom
molecular	306	117.05	molecular___moleculares	Adjectif
enfermedad	1261	115.24	enfermedad___enfermedades	Nom
paciente	605	115.23	paciente___pacientes	Nom
receptor	373	113.63	receptor___receptores	Nom
ratón	321	113.26	ratón___ratones	Nom
génica	266	112.41	génica	Adjectif
enzimas	263	111.77	enzimas	Nom
trastorno	361	109.63	trastorno___trastornos	Nom
linfocitos	242	107.2	linfocitos	Nom
transcripción	260	106.52	transcripción___transcripciones	Nom
antígeno	241	106.51	antígeno	Nom
enzima	248	106.09	enzima	Nom
replicación	235	105.63	replicación	Nom
neurona	230	103.56	neurona___neuronas	Nom
inmunitario	220	102.18	inmunitario	Nom
tejido	427	101.23	tejido___tejidos	Nom
alelos	215	101.01	alelos	Nom
arn	214	100.78	arn	Nom
cerebro	311	99.91	cerebro___cerebros	Nom
fragmento	249	99.7	fragmento___fragmentos	Nom
sistema inmunitario	206	98.86	sistema inmunitario	Nom Nom
alelo	189	94.68	alelo	Nom
muscular	195	94.67	muscular___musculares	Adjectif
marcador	258	93.92	marcador___marcadores	Nom
síndrome	255	91.97	síndrome___síndromes	Nom
cepa	212	91.45	cepa___cepas	Nom
fenotipo	175	91.08	fenotipo___fenotipos	Nom
músculo	187	90.69	músculo___músculos	Nom
antígenos	171	90.03	antígenos	Nom
ligamiento	170	89.76	ligamiento	Nom
fármacos	168	89.23	fármacos	Adjectif
individuo	483	88.85	individuo___individuos	Nom
cadena	526	87.19	cadena___cadenas	Nom
varón	203	86.74	varón___varones	Nom
hembra	170	86.14	hembra___hembras	Nom
recombinación	150	84.28	recombinación	Nom
fig	149	84	fig	Nom
vector	206	83.08	vector___vectores	Nom
infección	247	82.7	infección___infecciones	Nom
microorganismos	144	82.57	microorganismos	Nom
clínico	274	82.06	clínico___clínica___clínicas	Adjectif
macho	182	81.26	macho___machos	Nom
normal	578	80.39	normal___normales	Adjectif
terapia	231	79.78	terapia___terapias	Nom
nucleótidos	134	79.63	nucleótidos	Adjectif
hélice	133	79.33	hélice___hélices	Nom
tabla	208	78.05	tabla___tablas	Nom
vacuna	265	78.02	vacuna___vacunas	Nom
síntesis	281	77.72	síntesis	Nom
mutantes	127	77.51	mutantes	Nom
fibra	199	77.35	fibra___fibras	Nom
gen	125	76.89	gen	Adjectif
plásmidos	125	76.89	plásmidos	Nom
locus	126	76.57	locus	Nom
mapa	250	75.13	mapa___mapas	Nom
nuestro	121	74.37	nuestro	Nom
probabilidad	247	74.27	probabilidad___probabilidades	Nom
génico	116	74.05	génico	Nom
inmunitaria	114	73.4	inmunitaria	Nom
mosca	133	72.99	mosca___moscas	Nom
loci	110	72.09	loci	Nom
glucosa	121	72	glucosa	Nom
huésped	123	71.28	huésped___huéspedes	Nom
copiar	196	70.88	copiar___copian___copiarse	Verbe
diana	110	70.44	diana	Nom
genoma humano	138	69.91	genoma humano	Nom Adjectif
nuestros	107	69.42	nuestros	Nom
laboratorio	244	68.75	laboratorio___laboratorios	Nom
clones	108	68.5	clones	Nom
mutante	102	68.01	mutante	Nom
factor	630	67.95	factor___factores	Nom
cerebral	119	67.64	cerebral___cerebrales	Adjectif
enfermedad genético	119	67.4	enfermedad genética___enfermedades genéticas	Nom Adjectif
átomo	108	67.02	átomo___átomos	Nom
cdna	94	66.59	cdna	Nom
terapia génica	94	66.59	terapia génica	Nom Adjectif
variación	179	66.56	variación___variaciones	Nom
tumorales	92	65.87	tumorales	Nom
segmento	184	64.88	segmento___segmentos	Nom
gemelo|gemelos	102	64.59	gemelos	Nom
codificar	113	63.44	codificar___codifican	Verbe
nervioso	139	63.39	nervioso___nerviosa___nerviosas	Adjectif
respuesta inmunitaria	85	63.28	respuesta inmunitaria	Nom Nom
ácido	117	63.11	ácido___ácidos	Nom
eucariotas	83	62.52	eucariotas	Nom
fármaco	83	62.52	fármaco	Adjectif
memes	82	62.14	memes	Nom
cancerosas	82	62.14	cancerosas	Adjectif
sistema nervioso	107	61.99	sistema nervioso	Nom Adjectif
médula	110	61.93	médula	Nom
detección	196	61.86	detección	Nom
sanguíneo	93	61.55	sanguíneo	Adjectif
meiosis	80	61.37	meiosis	Nom
williams	80	61.37	williams	Nom
rna	80	61.37	rna	Adjectif
división celular	78	60.59	división celular___divisiones celulares	Nom Adjectif
metástasis	79	60.58	metástasis	Nom
metabolismo	85	60.38	metabolismo	Nom
rata	93	60.38	rata___ratas	Nom
biología	116	60.2	biología	Nom
célula cancerosas	76	59.79	células cancerosas	Nom Adjectif
cinc	76	59.39	cinc	Nom
oligonucleótidos	75	59.39	oligonucleótidos	Nom
supresor	76	59.39	supresor___supresores	Nom
experimento	224	59.35	experimento___experimentos	Nom
insulina	89	59.12	insulina	Nom
nuestra	91	59.04	nuestra	Nom
plásmido	73	58.59	plásmido	Nom
cromosómicas	73	58.59	cromosómicas	Nom
somáticas	73	58.59	somáticas	Adjectif
diagnóstico	208	58.03	diagnóstico___diagnósticos	Nom
herencia	176	57.9	herencia	Nom
gametos	76	57.84	gametos	Nom
patrón	154	57.83	patrón___patrones	Nom
átomo de carbono	71	57.77	átomo de carbono___átomos de carbono	Nom Préposition Nom
colon	71	57.77	colon	Nom
célula tumorales	71	57.77	células tumorales	Nom Nom
ciclo celular	71	57.77	ciclo celular	Nom Adjectif
genotipos	73	57.37	genotipos	Nom
apoptosis	70	57.35	apoptosis	Nom
par de base	70	57.35	par de bases___pares de bases	Nom Préposition Nom
trasplantar	87	57.18	trasplantar___trasplantes	Verbe
hipertensión	70	56.93	hipertensión	Nom
tratamiento	471	56.73	tratamiento___tratamientos	Nom
tamaño	252	56.62	tamaño___tamaños	Nom
espermatozoide	74	56.28	espermatozoide___espermatozoides	Nom
génicas	67	56.09	génicas	Nom
cromosoma humano	68	56.09	cromosoma humano___cromosomas humanos	Nom Adjectif
alteración	139	55.85	alteración___alteraciones	Nom
ensayo	243	55.73	ensayo___ensayos	Nom
superficie celular	66	55.67	superficie celular___superficies celulares	Nom Adjectif
factor de transcripción	66	55.67	factor de transcripción___factores de transcripción	Nom Préposition Nom
producir	845	55.58	producir___producirá___producirán___producirían___produjese___produjesen	Verbe
ciclo	239	55.49	ciclo___ciclos	Nom
técnica	323	55.43	técnica___técnicas	Nom
mrna	65	55.24	mrna	Adjectif
mensajero	65	55.24	mensajero	Adjectif
recombinante	65	55.24	recombinante	Adjectif
riñón	75	54.96	riñón___riñones	Nom
genotipo	70	54.94	genotipo	Nom
láser	69	54.9	láser	Nom
ósea	64	54.8	ósea	Adjectif
sustratos	64	54.8	sustratos	Nom
información genético	74	54.54	información genética___informaciones genéticas	Nom Adjectif
inmunoglobulinas	64	54.36	inmunoglobulinas	Nom
tubo	83	54.21	tubo___tubos	Nom
extremo	223	54.2	extremo___extremos	Nom
vaso sanguíneos	65	53.95	vasos sanguíneos	Nom Adjectif
arn mensajero	62	53.92	arn mensajero	Nom Adjectif
microsatélites	62	53.92	microsatélites	Nom
portar	96	53.79	portar___porta___porten___portamos	Verbe
fibra muscular	61	53.48	fibra muscular___fibras musculares	Nom Adjectif
descubrimiento	162	53.12	descubrimiento___descubrimientos	Nom
célula somáticas	60	53.03	células somáticas	Nom Adjectif
cromosómico	61	53.03	cromosómico	Adjectif
ritonavir	60	53.03	ritonavir	Nom
bacteriana	60	53.03	bacteriana	Nom
mapeo	60	53.03	mapeo	Nom
tipo celular	60	53.03	tipo celular___tipos celulares	Nom Adjectif
citoplasma	59	52.58	citoplasma	Nom
secuencia de aminoácido	59	52.58	secuencia de aminoácido___secuencia de aminoácidos___secuencias de aminoácidos	Nom Préposition Nom
molécula de dna	59	52.58	molécula de dna___moléculas de dna	Nom Préposition Nom
expresión génica	59	52.58	expresión génica	Nom Adjectif
anormal	94	52.44	anormal___anormales	Adjectif
recesivo	65	52.36	recesivo	Adjectif
integrinas	58	52.13	integrinas	Nom
cebadores	60	52.13	cebadores	Nom
recurrencia	60	52.13	recurrencia	Nom
médula ósea	58	52.13	médula ósea	Nom Adjectif
longitud	125	51.8	longitud___longitudes	Nom
interacción	142	51.8	interacción___interacciones	Nom
superficie	251	51.8	superficie___superficies	Nom
par	279	51.72	par___pares	Nom
cromosómica	57	51.67	cromosómica	Adjectif
polimerasa	57	51.67	polimerasa	Nom
lactosa	57	51.67	lactosa	Adjectif
hermano	147	51.48	hermano___hermana___hermanas	Nom
descendiente	95	51.37	descendiente___descendientes	Nom
sustrato	60	51.28	sustrato	Nom
bacterianas	56	51.2	bacterianas	Nom
nuestra	56	51.2	nuestra	Adjectif
material genético	78	50.59	material genético	Nom Adjectif
fibrosis	65	50.55	fibrosis	Nom
mamífero	82	50.43	mamífero___mamíferos	Nom
supresor de tumor	54	50.26	supresor de tumor___supresores de tumor___supresores de tumores	Nom Préposition Nom
mitocondrias	54	50.26	mitocondrias	Nom
proyecto genoma	54	50.26	proyecto genoma___proyectos genoma	Nom Nom
tumoral	54	50.26	tumoral	Nom
basal	54	50.26	basal	Adjectif
dedo de cinc	54	50.26	dedo de cinc___dedos de cinc	Nom Préposition Nom
adn	54	50.26	adn	Nom
hormona	193	49.86	hormona___hormonas	Nom
bacteriano	53	49.79	bacteriano	Nom
axones	53	49.79	axones	Nom
gripe	77	49.68	gripe	Nom
híbrido	85	49.6	híbrido___híbrida___híbridas	Adjectif
sanguíneos	88	49.5	sanguíneos	Adjectif
organismo	483	49.41	organismo___organismos	Nom
inmunoglobulina	54	49.32	inmunoglobulina	Nom
andrógenos	52	49.31	andrógenos	Nom
cromosoma sexual	52	49.31	cromosoma sexual___cromosomas sexuales	Nom Adjectif
fibrosis quística	52	49.31	fibrosis quística	Nom Adjectif
síndrome de williams	52	49.31	síndrome de williams___síndromes de williams	Nom Préposition Nom
monoclonales	52	48.82	monoclonales	Adjectif
pcr	51	48.82	pcr	Nom
levadura	52	48.82	levadura	Nom
activan	52	48.82	activan	Verbe
génicos	50	48.33	génicos	Nom
irinotecan	50	48.33	irinotecan	Verbe
genomas	50	48.33	genomas	Nom
consejo genético	50	48.33	consejo genético	Nom Adjectif
fluido	86	47.98	fluido___fluida___fluidas	Adjectif
lesión	109	47.93	lesión___lesiones	Nom
idéntico	181	47.82	idéntico___idéntica___idénticas	Adjectif
