Reference	LeftContext	Pivot	RightContext
1_m00003-plain	1998. El importe estimado necesario para la ejecución del programa asciende	a_PREP_a 336_CARD_@card@ millones_CARD_millones de_PREP_de ecus_NC_ecu,_CM_, incluido_VLadj_incluir un_ART_un 8_CARD_8	, 5 % para los gastos de personal y funcionamiento. En
1_m00003-plain	compartidos cuando esté indicado para tareas de investigación concretas. Hay numerosas	prioridades_NC_prioridad que_CQUE_que hay_VHfin_haber que_CQUE_que establecer_VLinf_establecer,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta las_ART_el grandes_ADJ_grande	variaciones entre los sistemas de salud nacionales, las estructuras de investigación
1_m00003-plain	y pedologías nuevas como los priones, así como el mecanismo de	resistencia_NC_resistencia a_PREP_a los_ART_el tratamientos_NC_tratamiento convencionales_ADJ_convencional,_CM_, incluido_VLadj_incluir el_ART_el problema_NC_problema	de las infecciones nosocomiales; - la prevención de la enfermedad,
1_m00003-plain	tratamientos convencionales, incluido el problema de las infecciones nosocomiales; -	la_ART_el prevención_NC_prevención de_PREP_de la_ART_el enfermedad_NC_enfermedad,_CM_, incluido_VLadj_incluir el_ART_el desarrollo_NC_desarrollo	de nuevos sistemas específicos de vigilancia para determinar el modo de distribución
1_m00003-plain	de la carcinogénesis. - los mecanismos moleculares de la génesis de	los_ART_el tumores_NC_tumor y_CC_y de_PREP_de las_ART_el metástasis_NC_metástasis,_CM_, incluida_VLadj_incluir la_ART_el caracterización_NC_caracterización	de los genes y de las proteínas responsables, y, en
1_m00003-plain	normales y de las anomalías que pueden alterarlas y 'por ese	motivo_NC_motivo,_CM_, predispone_VLfin_predisponer al_PAL_al cáncer_NC_cáncer,_CM_, incluido_VLadj_incluir el_ART_el desarrollo_NC_desarrollo	de modelos celulares y transgénicos precisos que convengan a la investigación sobre
1_m00003-plain	de intervención curativa; - la investigación que apoya la eficacia de	las_ART_el modalidades_NC_modalidad de_PREP_de tratamientos_NC_tratamiento sistémicos_ADJ_sistémico,_CM_, incluidos_VLadj_incluir los_ART_el agentes_NC_agente	citotóxicos y los que modifican la respuesta biológica; - la investigación
1_m00003-plain	normales a la irradiación; - la calidad de vida como parámetro	de_PREP_de evaluación_NC_evaluación de_PREP_de un_ART_un tratamiento_NC_tratamiento,_CM_, incluidos_VLadj_incluir los_ART_el cuidados_NC_cuidado	en fase terminal y la rehabilitación. Investigación farmacéutica El objetivo general
1_m00003-plain	la investigación en las metodologías de metaanálisis y los ensayos clínicos aleatorios	para_PREP_para las_ART_el enfermedades_NC_enfermedad menos_ADV_menos conocidas_VLadj_conocer,_CM_, incluido_VLadj_incluir un_ART_un inventario_NC_inventario	de éstas y un depósito de los medicamentos conocidos como huérfanos»
1_m00003-plain	avanzadas y las infraestructuras dispersas por toda Europa; - la investigación	sobre_PREP_sobre los_ART_el mecanismos_NC_mecanismo del_PDEL_del dolor_NC_dolor,_CM_, incluido_VLadj_incluir el_ART_el desarrollo_NC_desarrollo	de nuevos tratamientos y la realización de ensayos clínicos para evaluar la
1_m00003-plain	tratamiento en las minorías y los grupos de riesgo elevado; -	la_ART_el investigación_NC_investigación sobre_PREP_sobre las_ART_el ciencias_NC_ciencia cognitivas_ADJ_cognitivo,_CM_, incluido_VLadj_incluir el_ART_el desarrollo_NC_desarrollo	de modelos de comportamiento neuronal, el aprendizaje, la memoria y
1_m00003-plain	mocoviscidosis. Se estimulará la puesta en común y la armonización de	los_ART_el bancos_NC_banco de_PREP_de datos_NC_dato genéticos_ADJ_genético,_CM_, incluida_VLadj_incluir la_ART_el participación_NC_participación	de la Comunidad Europea en la gestión de la base de datos
1_m00003-plain	de forma que estas modificaciones resulten hereditarias. - la cartografía genética	y_CC_y el_ART_el análisis_NC_análisis del_PDEL_del genoma_NC_genoma,_CM_, incluyendo_VLger_incluir la_ART_el construcción_NC_construcción	de mapas de transcripción integrados, la secuenciación de regiones cromosómicas específicas
1_m00003-plain	cromosómicas específicas y la explotación de enfoques comparativos; - en análisis	de_PREP_de la_ART_el función_NC_función del_PDEL_del gen_NC_gen,_CM_, incluidos_VLadj_incluir la_ART_el mejora_NC_mejora	de la técnicas de focalización en los genes y el desarrollo de
1_m00003-plain	genes y el desarrollo de modelos animales como el ratón; -	el_ART_el análisis_NC_análisis de_PREP_de la_ART_el regulación_NC_regulación genéticas_ADJ_genético,_CM_, incluyendo_VLger_incluir la_ART_el identificación_NC_identificación	de secuencias de regulación y el análisis de los mecanismos de regulación
1_m00003-plain	de genes específicos, sobre todo los implicados en enfermedades; -	el_ART_el diagnóstico_NC_diagnóstico de_PREP_de enfermedades_NC_enfermedad genéticas_ADJ_genético,_CM_, incluyendo_VLger_incluir los_ART_el factores_NC_factor	no genéticos y el desarrollo de los protocolos de evaluación del riesgo
