Reference,LeftContext,Pivot,RightContext,presence,candidate_term_left,candidate_term_right,occurrence
1_e00001-plain,el ritmo de integración es la disponibilidad y el mantenimiento adecuado de,"la_ART_el infraestructura_NC_infraestructura económica_ADJ_económico necesaria_ADJ_necesario,_CM_, en_PREP_en particular_ADJ_particular las_ART_el telecomunicaciones_NC_telecomunicación",y el transporte. Contar con un sistema de comunicaciones de alta,none,[None],[None], la infraestructura económica necesaria en particular las telecomunicaciones
1_e00001-plain,"suministro de incentivos de mercado en el sector privado, y eliminar","los_ART_el obstáculos_NC_obstáculo normativos_ADJ_normativo,_CM_, sobre_PREP_sobre todo_QU_todo para_PREP_para las_ART_el empresas_NC_empresa","extranjeras. - Aumento de las actividades de investigación y desarrollo,",none,[None],[None], los obstáculos normativos sobre todo para las empresas
1_e00004-plain,"varían extraordinariamente. En los países pobres, el 61 % de","la_ART_el población_NC_población activa_ADJ_activo trabaja_VLfin_trabajar en_PREP_en la_ART_el agricultura_NC_agricultura,_CM_, sobre_PREP_sobre todo_QU_todo en_PREP_en explotaciones_NC_explotación",agrícolas familiares; el 22 % trabaja en el sector rural no,left,"['activa', 'población activa']",[None], la población activa trabaja en la agricultura sobre todo en explotaciones
1_e00004-plain,países receptores. La participación en el comercio internacional ha beneficiado a,"muchos_QU_mucho trabajadores_NC_trabajador,_CM_, sobre_PREP_sobre todo_QU_todo en_PREP_en las_ART_el explotaciones_NC_explotación","agrícolas, las fábricas y el sector de servicios de Asia.",left,"['muchos', 'trabajadores']",[None], muchos trabajadores sobre todo en las explotaciones
1_e00051-plain,podría argumentar que el capital físico y el humano son bienes con,"unas_ART_un propiedades_NC_propiedad enteramente_ADV_entero diferenciadas_VLadj_diferenciar._FS_. En_PREP_en particular_ADJ_particular,_CM_, la_ART_el función_NC_función",de producción de capital físico es distinta de la de capital humano,both,"['propiedades', 'enteramente']",['función'], unas propiedades enteramente diferenciadas En particular la función
1_e00053-plain,se permite a la teoría clásica extender sus conclusiones por analogía de,la_ART_el industria_NC_industria en_PREP_en particular_ADJ_particular a_PREP_a la_ART_el industria_NC_industria,"en conjunto, es completamente incapaz de contestar la pregunta relativa a",both,['industria'],['industria'], la industria en particular a la industria
1_e00053-plain,"de la distribución y no una teoría del dinero "" autónoma.","El_ART_el dinero_NC_dinero en_PREP_en sus_PPO_suyo atributos_NC_atributo importantes_ADJ_importante es_VSfin_ser,_CM_, sobre_PREP_sobre todo_QU_todo,_CM_, un_ART_un artificio_NC_artificio",sutil para ligar el presente con el futuro; y no podemos,both,"['dinero', 'atributos']",['artificio'], El dinero en sus atributos importantes es sobre todo un artificio
1_e00053-plain,unidades de costo. Este resultado es consecuencia del supuesto de que,"los_ART_el factores_NC_factor de_PREP_de la_ART_el producción_NC_producción,_CM_, y_CC_y en_PREP_en particular_ADJ_particular los_ART_el trabajadores_NC_trabajador",", están dispuestos a resistirse a una reducción en sus remuneraciones monetarias",both,"['factores', 'producción']",['trabajadores'], los factores de la producción y en particular los trabajadores
1_e00079-plain,"origen francés y significó al principio, simplemente, el análisis de","las_ART_el ideas_NC_idea o_CC_o contenidos_VLadj_contener mentales_ADJ_mental,_CM_, sobre_PREP_sobre todo_QU_todo en_PREP_en relación_NC_relación","con las teorías de Condillac. A veces se usó también,",both,['ideas'],['relación'], las ideas o contenidos mentales sobre todo en relación
1_e00079-plain,burocracias conservadoras. El uso de 'liberal 'a que alude,el_ART_el autor_NC_autor es_VSfin_ser sobre_PREP_sobre todo_QU_todo norteamericano_NC_norteamericano,. [3] Algunos de sus puntos son discutibles. Por,both,['autor'],['norteamericano'], el autor es sobre todo norteamericano
1_e00079-plain,"problemas económicos aparecían bajo una nueva luz. En cualquier caso,",las_ART_el aportaciones_NC_aportación originales_ADJ_original más_ADV_más importantes_ADJ_importante del_PDEL_del libro_NC_libro -contenidas_VLfin_-contenidas sobre_PREP_sobre todo_QU_todo en_PREP_en los_ART_el capítulos_NC_capítulo,"4-7, referentes a la diferenciación del producto y a los costes",both,"['más', 'libro', 'aportaciones originales']",['capítulos'], las aportaciones originales más importantes del libro sobre todo en los capítulos
1_e00079-plain,es una característica destacada de nuestro tiempo. El anterior análisis de,"los_ART_el factores_NC_factor que_CQUE_que produjeron_VLfin_producir la_ART_el macrodinámica_NC_macrodinámica y_CC_y,_CM_, en_PREP_en particular_ADJ_particular,_CM_, la_ART_el macrodinámica_NC_macrodinámica","estadística, permite inferir que este desarrollo se habría producido aunque no",both,"['factores', 'produjeron', 'macrodinámica']",['macrodinámica'], los factores que produjeron la macrodinámica y en particular la macrodinámica
1_e00091-plain,"de incremento de tipos de interés. En la City londinense,","el_ART_el mantenimiento_NC_mantenimiento de_PREP_de tipos_NC_tipo oficiales_ADJ_oficial y_CC_y,_CM_, sobre_PREP_sobre todo_QU_todo,_CM_, la_ART_el influencia_NC_influencia","de la bolsa neoyorquina, más intensa que en el continente,",both,"['tipos', 'oficiales', 'tipos oficiales']",['influencia'], el mantenimiento de tipos oficiales y sobre todo la influencia
1_e00091-plain,9 %. Los factores autónomos creadores de liquidez de base tuvieron,"un_ART_un comportamiento_NC_comportamiento expansivo_ADJ_expansivo en_PREP_en enero_NMON_enero,_CM_, debido_VMadj_deber sobre_PREP_sobre todo_QU_todo al_PAL_al sector_NC_sector","exterior, de modo que disminuyeron las necesidades de liquidez del sistema",left,"['comportamiento', 'expansivo', 'enero']",[None], un comportamiento expansivo en enero debido sobre todo al sector
1_e00091-plain,"se manifestó también en el comercio de servicios, marcado también por","un_ART_un auge_NC_auge importante_ADJ_importante de_PREP_de las_ART_el exportaciones_NC_exportación,_CM_, en_PREP_en particular_ADJ_particular,_CM_, gracias_NC_gracia","al turismo, hasta el punto que el saldo de la rúbrica",left,"['auge', 'exportaciones']",[None], un auge importante de las exportaciones en particular gracias
