Reference	LeftContext	Pivot	RightContext
1_m00003-plain	objetivo de calidad científica y técnica; que el presente programa pretende	contribuir_VLinf_contribuir a_PREP_a la_ART_el consecución_NC_consecución de_PREP_de tales_QU_tal objetivos_NC_objetivo	. Considerando que el presente programa y su ejecución contribuyen a consolidar
1_m00003-plain	Llegado el caso presentará propuesta para adaptar o completar este programa en	función_NC_función de_PREP_de los_ART_el resultados_NC_resultado de_PREP_de tal_QU_tal examen_NC_examen	. Como parte de la evaluación global de las actividades comunitarias a
1_m00064-plain	) envuelven vasos sanguíneos, otros se arrollan alrededor de algunas partes	de_PREP_de las_ART_el neuronas_NC_neurona,_CM_, de_PREP_de tal_QU_tal manera_NC_manera	que las membranas somática y dendrítica quedan ampliamente rodeadas por estas células
1_m00064-plain	se disuelven en las membranas de las células que los revisten.	Otras_QU_otro sustancias_NC_sustancia,_CM_, tales_QU_tal como_CSUBX_como la_ART_el glucosa_NC_glucosa	(el combustible principal del sistema nervioso central), deben ser
1_m00064-plain	el olor y la conducta de la hembra. En algunas especies	hay_VHfin_haber también_ADV_también cambios_NC_cambio visibles_ADJ_visible,_CM_, tales_QU_tal como_CSUBX_como el_ART_el entumecimiento_NC_entumecimiento	de la piel de la región genital en el mono hembra,
1_m00064-plain	estimula la urinación y permite que la madre ingiera el agua y	los_ART_el minerales_NC_mineral liberados_VLadj_liberar,_CM_, de_PREP_de tal_QU_tal manera_NC_manera	que éstos puedan ser reciclados en su leche. Moore y sus
1_m00064-plain	de nuestra conducta de ingesta: la ingesta de alimento, de	agua_NC_agua y_CC_y de_PREP_de minerales_NC_mineral,_CM_, tales_QU_tal como_CSUBX_como el_ART_el sodio_NC_sodio	. Empezaremos por examinar la naturaleza general de los mecanismos reguladores,
1_m00064-plain	para evaluar la variable sistema y un mecanismo corrector para restaurarla.	Los_ART_el sistemas_NC_sistema reguladores_NC_regulador fisiológicos_ADJ_fisiológico,_CM_, tales_QU_tal como_CSUBX_como el_ART_el control_NC_control	de los fluidos y los nutrientes corporales, requieren de un mecanismo
1_m00064-plain	casi siempre palabras con contenido (palabras con significado, como nombres	,_CM_, adjetivos_NC_adjetivo y_CC_y adverbios_NC_adverbio,_CM_, tales_QU_tal como_CSUBX_como manzana_NC_manzana	, casa, lanzar o pesado). A continuación se presenta
1_m00064-plain	, Guze y Clayton, 1972). Las crisis de angustia	conllevan_VLfin_conllevar muchos_QU_mucho síntomas_NC_síntoma físicos_ADJ_físico,_CM_, tales_QU_tal como_CSUBX_como dificultades_NC_dificultad	respiratorias, sudor frío, irregularidades en los latidos cardíacos, vértigo
