Reference	LeftContext	Pivot	RightContext
1_m00064-plain	, que se propagan en todas las direcciones. Si uno de	estos_DM_este brotes_NC_brote encuentra_VLfin_encontrar el_ART_el cilindro_NC_cilindro formado_VLadj_formar por_PREP_por una_ART_un célula_NC_célula de_PREP_de Schwann_NP_Schwann	, rápidamente crece a través del tubo (a una velocidad de
1_m00092-plain	ELISA) para el recuento de las células formadoras de anticuerpo.	El_ART_el dibujo_NC_dibujo muestra_VLfin_mostrar puntos_NC_punto formados_VLadj_formar por_PREP_por células_NC_célula de_PREP_de hibridoma_NC_hibridoma	formando auto-anticuerpos contra la tiroglobulina revelados por anti xxx ligada a la
1_m00203-plain	cortejo en los machos de la mosca de la fruta Estos centros	se_SE_se han_VHfin_haber cartografiado_VLadj_cartografiar utilizando_VLger_utilizar moscas_NC_mosca constituidas_VLadj_constituir con_PREP_con mezcla_NC_mezcla de_PREP_de células_NC_célula	procedentes de macho y de hembra. Para realizar las primeras etapas
1_m00235-plain	. Otros vectores utilizan revestimientos no lipídicos para proteger el ADN.	Algunos_QU_alguno de_PREP_de esos_DM_ese revestimientos_NC_revestimiento están_VEfin_estar formados_VLadj_formar por_PREP_por polímeros_NC_polímero de_PREP_de aminoácidos_NC_aminoácido	y otras sustancias cuya función es dirigir los genes terapéuticos hacia las
1_m00251-plain	tamaño, la huntingtina, de función desconocida. El gen normal	contiene_VLfin_contener un_ART_un microsatélite_NC_microsatélite largo_ADJ_largo,_CM_, constituido_VLadj_constituir por_PREP_por repeticiones_NC_repetición de_PREP_de tripletes_NC_triplete	, que añade una ristra de glutaminas cerca del extremo inicial de
1_m00268-plain	sino también porque el reloj del ciclo celular se vuelve loco.	El_ART_el reloj_NC_reloj,_CM_, formado_VLadj_formar por_PREP_por un_ART_un conjunto_NC_conjunto de_PREP_de proteínas_NC_proteína	nucleares que interaccionan entre si, integra, en condiciones normales,
1_m00306-plain	en las primeras fases de la mitosis y de la meiosis.	Estas_DM_este fibras_NC_fibra,_CM_, formadas_VLadj_formar por_PREP_por un_ART_un racimo_NC_racimo de_PREP_de microtúbulos_NC_microtúbulo	, juegan un papel importante en el movimiento de los cromosomas,
1_m00306-plain	los cromosomas se encuentran formando pareja homólogas. En realidad cada cromosoma	es_VSfin_ser una_ART_un estructura_NC_estructura doble_ADJ_doble,_CM_, formada_VLadj_formar por_PREP_por un_ART_un par_NC_par de_PREP_de cromátidas_NC_cromátida	hermanas unidas por un centrómero común. [1] No obstante
1_m00306-plain	de las no virulentas mediante técnicas microbiológicas normales de cultivo. Cada	cepa_NC_cepa de_PREP_de Diplococcus_NP_Diplococcus puede_VMfin_poder estar_VEinf_estar formada_VLadj_formar por_PREP_por una_ART_un docena_NC_docena de_PREP_de tipos_NC_tipo	diferentes denominados serotipos. La especificidad del serotipo viene dada por la
1_m00306-plain	ordenación de genes contiguos densamente empaquetados. La inmensa mayoría del DNA	codifica_VLfin_codificar información_NC_información genética_ADJ_genético o_CC_o está_VEfin_estar formada_VLadj_formar por_PREP_por elementos_NC_elemento de_PREP_de control_NC_control	implicados en la regulación de la expresión génica. En cambio,
1_m00306-plain	vimos anteriormente (véase el Capítulo 12), una porción considerable	de_PREP_de muchos_QU_mucho genes_NC_gen|genes eucarióticos_ADJ_eucariótico está_VEfin_estar formada_VLadj_formar por_PREP_por secuencias_NC_secuencia de_PREP_de DNA_NC_dna	no codificantes denominadas intrones y por secuencias flanqueantes que no forman parte
1_m00306-plain	idea bastante clara de la estructura de los cromosomas víricos bacterianos.	El_ART_el cromosoma_NC_cromosoma de_PREP_de los_ART_el virus_NC_virus está_VEfin_estar formado_VLadj_formar por_PREP_por una_ART_un molécula_NC_molécula de_PREP_de ácido_NC_ácido	nucleico -DNA o RNA- que puede ser de cadena sencilla o de
1_m00306-plain	= doble cadena. Los cromosomas bacterianos también son relativamente simples.	Siempre_ADV_siempre están_VEfin_estar formados_VLadj_formar por_PREP_por una_ART_un molécula_NC_molécula de_PREP_de DNA_NC_dna	de doble cadena, compactada en una estructura que se denomina nucleoide
1_m00306-plain	de un gen eucariótico típico y de las regiones de control de	la_ART_el transcripción_NC_transcripción La_NP_La región_NC_región promotora_ADJ_promotor está_VEfin_estar formada_VLadj_formar por_PREP_por secuencias_NC_secuencia de_PREP_de DNA_NC_dna	modulares, generalmente localizados en un intervalo de 100 a 110 pb
1_m00678-plain	partir del estudio de la propia matriz. Averiguaron que la matriz	venía_VLfin_venir a_PREP_a ser_VSinf_ser un_ART_un gel_NC_gel formado_VLadj_formar por_PREP_por cadenas_NC_cadena de_PREP_de azúcares_NC_azúcar	y proteínas fibrosas interconectadas, si bien la cantidad de matriz y
1_m00680-plain	persisten largo tiempo, si no indefinidamente. El cristalino del ojo	,_CM_, por_PREP_por ejemplo_NC_ejemplo,_CM_, está_VEfin_estar formado_VLadj_formar por_PREP_por las_ART_el carcasas_NC_carcasa de_PREP_de células_NC_célula	que sustituyen la mayor parte de su citoplasma por la proteína cristalina
1_m00710-plain	el virus queda inicialmente secuestrado en una especie de burbuja. Pronto	se_SE_se liberan_VLfin_liberar sus_PPO_suyo genes_NC_gen|genes,_CM_, constituidos_VLadj_constituir por_PREP_por cadenas_NC_cadena de_PREP_de ARN_NC_arn	, y las proteínas internas, listos para llegar al núcleo celular
