Reference	LeftContext	Pivot	RightContext
1_e00001-plain	observados en cuatro indicadores desde principios de los años ochenta hasta	principios_NC_principio de_PREP_de los_ART_el noventa_CARD_noventa:_COLON_: el_ART_el volumen_NC_volumen	real de comercio como proporción del PIB, la inversión extranjera directa
1_e00001-plain	integración. Hay tres tipos de políticas que influyen con relativa	rapidez_NC_rapidez en_PREP_en el_ART_el ritmo_NC_ritmo de_PREP_de integración_NC_integración:_COLON_: las_ART_el políticas_NC_política	macroeconómicas, las relativas a las telecomunicaciones y la infraestructura de transporte
1_e00001-plain	comenzaron a dar impulso a ese aspecto de sus economías.	Obstáculos_NC_obstáculo externos_ADJ_externo:_COLON_: medidas_NC_medida	antidumping y el Acuerdo Multifibras Con todo, existen ciertos obstáculos externos
1_e00001-plain	kilos por hectárea en las plantaciones estatales. La diferencia en	las_ART_el utilidades_NC_utilidad brutas_ADJ_bruto fue_VSfin_ser incluso_ADV_incluso más_ADV_más reveladora_ADJ_revelador:_COLON_: US_NP_US	$ 1. 196 por hectárea en las plantaciones privadas, y
1_e00001-plain	de los países de la región volvió a sobrepasar el del	resto_NC_resto del_PDEL_del mundo_NC_mundo:_COLON_: La_ART_el relación_NC_relación	comercio - PIB continuó aumentando. Por primera vez, los aranceles
1_e00001-plain	del comercio se corresponde con la mejora reciente que ha experimentado	el_ART_el producto_NC_producto:_COLON_: Los_ART_el aranceles_NC_arancel	máximos se sitúan en el 45 %, incluso después de haber
1_e00001-plain	extraordinario de los índices de comercio registrado en los últimos diez	años_NC_año:_COLON_: Los_ART_el aranceles_NC_arancel	se redujeron al 15 %, frente al 30 % a fines
1_e00001-plain	los países de la región es cercano al promedio de todo	el_ART_el mundo_NC_mundo y_CC_y va_VLfin_ir en_PREP_en aumento_NC_aumento:_COLON_: El_ART_el volumen_NC_volumen	de comercio como proporción del PIB sobrepasó levemente el de los países
1_e00001-plain	período de estancamiento de su integración, que dura ya diez	años_NC_año:_COLON_: Los_ART_el índices_NC_índice	de comercio se han mantenido sin variaciones. Los aranceles apenas han
1_e00004-plain	programas de transferencias públicas pueden complementar las medidas no oficiales de	garantía_NC_garantía del_PDEL_del ingreso_NC_ingreso:_COLON_: las_ART_el obras_NC_obra	públicas constituyen por lo general el mejor método de transferencia para los
1_e00004-plain	uno o dos cambios fundamentales que han debido introducir en sus	estrategias_NC_estrategia de_PREP_de desarrollo_NC_desarrollo:_COLON_: el_ART_el abandono_NC_abandono	del proteccionismo en pro de una mayor integración en los mercados internacionales
1_e00004-plain	debe en parte a las diferencias de remuneración correspondientes a distintos	empleos_NC_empleo en_PREP_en cada_QU_cada país_NC_país:_COLON_: los_ART_el ingenieros_NC_ingeniero	, por ejemplo, ganan más que los trabajadores no calificados de
1_e00004-plain	cual los grupos de trabajadores más pobres comienzan a ponerse a	la_ART_el par_NC_par de_PREP_de sus_PPO_suyo homólogos_ADJ_homólogo más_ADV_más prósperos_ADJ_próspero:_COLON_: la_ART_el relación_NC_relación	entre los salarios de los grupos más pobres y los más ricos
1_e00010-plain	función del riesgo. Los fondos que comercializa la Caja de	Cataluña_NP_Cataluña pueden_VMfin_poder ser_VSinf_ser españoles_ADJ_español o_CC_o extranjeros_ADJ_extranjero:_COLON_: Fondos_NC_fondo	de Inversión Españoles Fondos de Inversión Extranjeros Inversión a menos de 2
1_e00032-plain	por los Miembros que deban recibir la Deuda se calculará de	acuerdo_NC_acuerdo con_PREP_con la_ART_el siguiente_ADJ_siguiente fórmula_NC_fórmula:_COLON_: Precio_NC_precio	de liquidación del Bono Nocional al cierre de la última sesión x
1_e00032-plain	Boletín de la Central de Anotaciones en Cuenta del Banco de	España_NP_España bajo_PREP_bajo el_ART_el epígrafe_NC_epígrafe de_PREP_de:_COLON_: Operaciones_NC_operación	de Compraventa Simple al Contado entre Titulares. La Relación de Valores
1_e00032-plain	por los Miembros que deban recibir la Deuda se calculará de	acuerdo_NC_acuerdo con_PREP_con la_ART_el siguiente_ADJ_siguiente fórmula_NC_fórmula:_COLON_: Precio_NC_precio	de liquidación del Bono nocional al cierre de la última sesión x
