id,pret,an,relational_semantic_type,Alarcon,source,fr_pattern,sp_pattern,patrons amplifiés,catégorie gramaticaux selon Lef,denotación gramatical variables,original_variables,extended_variables,changes,amp_gram,amp_dicc,alarcon,FALSE,traduction_source,min_elements_number,CQL_query,exemple francais,espagnol traduction,exemple-old,comment,main_element,type_element,first try,query,,
H01,TRUE,,hyp_attributif,,1,DET Y être DET X + caractéristiques {qui/que/dont/où/Adj/ ppassé/pprésent},DET Y ser DET X + características {que/quien/donde/cuyoAdj/ ppasado/ppresente},DET Y ser DET X + características {quién/qué/quién/dónde/Adj/ ppasado/ppresente},ont verbe « être » pour verbe pivot,,quién/qué/quién/dónde/Adj/ ppasado/ppresente,,NO,FALSE,FALSE,FALSE,TRUE,,9,,Les verrous sont des saillies rocheuses moutonnées par l'érosion,Las esclusas son salientes rocosos moldeados por la erosión,,,ser,lemma,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP|DM""] ser [spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] + características {quién|qué|quién|dónde|Adj| ppasado|ppresente}","[spanishpos=""ART""]? [spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishpos=""VS.*""] [spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""]",,
,,,,Patron tipográfico,,,Y {./:/¶} X + características {quién/qué/quién/dónde/Adj/ ppasado/ppresente},,,,,,NO,FALSE,FALSE,FALSE,FALSE,,,,,,Desastre. Perturbación de la actividad normal que ocasiona pérdidas o daños extensos o graves. (p. 128),"[non possible à trouver] cursivas, negritas, subrayados, mayúsculas, encabezados, viñetas y paréntesis ",,,,,,
,,,,Patron tipográfico,,,"""Y"" X + características {quién/qué/quién/dónde/Adj/ ppasado/ppresente}",,,,,,NO,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
H02,TRUE,,hyp_attributif,,1,DET Y être DET indéfini {sorte/espèce/variété/ type} de DET X,DET Y ser DET indefinido {especie/variedad/tipo} de DET X,DET Y ser DET indefinido {especie/variedad/tipo/clase} de DET X,ont verbe « être » pour verbe pivot,,especie/variedad/tipo,['especie/variedad/tipo/clase'],DICT,FALSE,TRUE,FALSE,TRUE,,10,,Le bacille est une variété de bactérie,El bacilo es una variedad de bacteria,,,ser,lemma,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] ser [spanishpos=""ART""] {especie|variedad|tipo|clase} de [spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|CM|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,6}[spanishpos=""VS.*""] [spanishpos=""ART""]? [spanishlemma=""especie|variedad|tipo|clase|ejemplar|tipología|grupo|espécimen""][spanishlemma=""de""]?[spanishpos=""NC|NMON|NMEA|NP""]",,
H03,TRUE,,hyp_attributif,,1,DET Y être DET X très Adj,DET Y ser DET X muy Adj,DET Y ser DET X muy Adj,ont verbe « être » pour verbe pivot,adverbe de quantification (indéfini),muy,,NO,FALSE,FALSE,FALSE,FALSE,,7,,,,peut etre ici qu'il le determinant soit toujours indef,,ser,lemma,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] ser [spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] muy Adj","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishpos=""VS.*""] [spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishlemma=""muy""][spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{1}",,
H04,TRUE,,hyp_attributif,,1,DET Y être DET défini X DET défini {plus/moins} Adj,DET Y ser DET definido X {más/menos} Adj,DET Y ser DET definido X {más/menos} Adj,ont verbe « être » pour verbe pivot,quantificateurs superlatifs,más/menos,,NO,FALSE,FALSE,FALSE,FALSE,,10,,,,la femme la plus belle/es la mujer más bella,"ici on peut essayer ""el MÁS/MENOS"" pour voir qu'il y a",ser,lemma,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] ser [spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] {más|menos} Adj","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishpos=""VS.*""] [spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishlemma=""más|menos""][spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{1}",,
H05,TRUE,,hyp_attributif,,1,DET Y être DET défini {plus/moins} Adj de tous DET défini X,DET Y ser DET definido {más/menos} Adj de todo DET definido X,DET Y ser DET definido {más/menos} Adj de {todo}? DET definido X,ont verbe « être » pour verbe pivot,quantificateurs superlatifs,más/menos,,NO,FALSE,FALSE,FALSE,FALSE,,12,,La mygale est l'araignée la plus dangereuse,,el más x de todo el X,"ici on peut essayer ""el MÁS/MENOS"" pour voir qu'il y a",ser,lemma,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] ser [spanishpos=""ART""] {más|menos} Adj de todo [spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishpos=""VS.*""] [spanishpos=""ART""]?[spanishlemma=""más|menos""][spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{1,5}[spanishlemma=""de""]?[spanishlemma=""todo""][spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}",,
H06,TRUE,,hyp_coordonné,,1,DET Y et {autres/tout autre/tout autre type de} X,DET Y y {otro/cualquier otro/cualquier otro tipo de} X,DET Y y {otro/cualquier otro/cualquier otro tipo de/demás/el resto de} X,"Ils s’articulent autour de conjonctions de coordination comme « et » ou « ou », a) déterminant adjectival « autre »ou « tout autre », b) adverbes de spécification/d'inclusión",quantificateur avec valeur d'altérité,otro/cualquier otro/cualquier otro tipo de,['otro/cualquier otro/cualquier otro tipo de/demás/el resto de'],2,TRUE,TRUE,FALSE,FALSE,,9,,les chiens et tout autre animal de compagnie,,conj alternative??,"selon RAE: ""demas"" a certains utilisations similaires que ""otro"" dans certains contextes (Cf. RAE, p. 251) || Selon le dict, on peut trouver ""y"", mais aussi ""o""",CC,tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] y {otro|cualquier otro|cualquier otro tipo de|demás|el resto de} [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishlemma=""y|o""]([spanishlemma=""todo""][spanishpos=""ART""]?)?[spanishlemma=""cualquier""]?[spanishlemma=""otro""][spanishlemma=""tipo""]?[spanishlemma=""de""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH|V.*""]{0,5}",,"[spanishpos=""ART""]?[spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH|V.*""]{1,5}[spanishlemma=""y|o""][]{0,5}([spanishlemma=""otro|demás""]|[spanishlemma=""el""][spanishlemma=""resto""][spanishlemma=""de""])[spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH|V.*""]{2,5}"
H07,TRUE,,hyp_coordonné,,1,DET Y {et/ou} DET {autres} X,DET Y {y/o} DET otro X,DET Y {y/o} DET otro X,"Ils s’articulent autour de conjonctions de coordination comme « et » ou « ou », a) déterminant adjectival « autre »ou « tout autre », b) adverbes de spécification/d'inclusión",,y/o,,NO,FALSE,FALSE,FALSE,FALSE,,6,,,,,,CC,tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] {y|o} [spanishpos=""ART""] otro [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishlemma=""y|o""][]{0,5}([spanishlemma=""otro|demás""]|[spanishlemma=""el""][spanishlemma=""resto""][spanishlemma=""de""])[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH|V.*""]{0,5}","[spanishpos=""ART""]?[][spanishpos!=""NEG|COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishlemma=""y|o""][]{0,5}?([spanishlemma=""otro|demás""]|[spanishlemma=""el""][spanishlemma=""resto""][spanishlemma=""de""])[spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH|V.*""]{2,5}",DET Y y {otro/cualquier otro/cualquier otro tipo de/demás/el resto de} X
H08,TRUE,,hyp_coordonné,,1,DET X et {notamment/en particulier/(tout) spécialement/(tout) particulièrement/surtout/avanttout} DET Y,DET X y {especialmente/particularmente/sobre todo/ante todo/en especial/en particular} DET Y,DET X y {especialmente/particularmente/sobre todo/ante todo/en especial/en particular/concretamente/en concreto/principalmente} DET Y,"Ils s’articulent autour de conjonctions de coordination comme « et » ou « ou », a) déterminant adjectival « autre »ou « tout autre », b) adverbes de spécification/d'inclusión",adverbes d'inclusion,especialmente/particularmente/sobre todo/ante todo,['especialmente/particularmente/sobre todo/ante todo/en especial/en particular/concretamente/en concreto/principalmente'],DICT,FALSE,TRUE,FALSE,FALSE,,9,,,,,,CC,tag,"[spanishpos=""ART""]?[][spanishpos!=""NEG|COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishlemma=""y""][spanishlemma=""particularmente""][spanishpos=""ART""]?[spanishpos!=""COLON|SEMICOLON|CM|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH|V.*""]{2,5}","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishlemma=""y""]([spanishlemma=""en""][spanishlemma=""particular|concreto|especial""]|[spanishlemma=""ante|sobre""][spanishlemma=""todo""]|[spanishlemma=""todo""]?[spanishlemma=""especialmente|particularmente|concretamente|principalmente""])[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][]{1,5}",,
